学校番号,所在地区市町村,学校名,郵便番号,住所,電話番号,学校名(フリガナ)
401010,千代田区,一橋,101-0031,東神田1-12-13,03-3862-6061,ヒトツバシ
401020,千代田区,日比谷,100-0014,永田町2-16-1,03-3581-0808,ヒビヤ
401040,港区,三田,108-0073,三田1-4-46,03-3453-1991,ミタ
401210,品川区,大崎,142-0042,豊町2-1-7,03-3786-3355,オオサキ
401220,品川区,八潮,140-0002,東品川3-27-22,03-3471-7384,ヤシオ
401230,品川区,小山台,142-0062,小山3-3-32,03-3714-8155,コヤマダイ
401240,大田区,雪谷,146-0085,久が原1-14-1,03-3753-0115,ユキガヤ
401250,大田区,大森,144-0051,西蒲田2-2-1,03-3753-3161,オオモリ
401260,大田区,田園調布,145-0076,田園調布南27-1,03-3750-4346,デンエンチョウフ
401290,大田区,蒲田,144-0053,蒲田本町1-1-30,03-3737-1331,カマタ
401410,大田区,つばさ総合,144-8533,本羽田3-11-5,03-5737-0151,ツバサソウゴウ
401420,港区,六本木,106-0032,六本木6-16-36,03-5411-7327,ロッポンギ
401510,大田区,六郷工科,144-8506,東六郷2-18-2,03-3737-6565,ロクゴウコウカ
401520,大田区,美原,143-0012,大森東1-33-1,03-3764-3883,ミハラ
401610,港区,芝商業,105-0022,海岸1-8-25,03-3431-0760,シバショウギョウ
401620,大田区,大田桜台,143-0027,中馬込3-11-10,03-6303-7980,オオタサクラダイ
402010,新宿区,戸山,162-0052,戸山3-19-1,03-3202-4301,トヤマ
402030,目黒区,駒場,153-0044,大橋2-18-1,03-3466-2481,コマバ
402040,目黒区,目黒,153-0052,祐天寺2-7-15,03-3792-5541,メグロ
402060,新宿区,新宿,160-0014,内藤町11-4,03-3354-7411,シンジュク
402070,渋谷区,青山,150-0001,神宮前2-1-8,03-3404-7801,アオヤマ
402080,渋谷区,広尾,150-0011,東4-14-14,03-3400-1761,ヒロオ
402210,世田谷区,松原,156-0045,桜上水4-3-5,03-3303-5381,マツバラ
402220,世田谷区,桜町,158-0097,用賀2-4-1,03-3700-4330,サクラマチ
402250,世田谷区,千歳丘,156-0055,船橋3-18-1,03-3429-7271,チトセガオカ
402270,世田谷区,深沢,158-0081,深沢7-3-14,03-3702-4145,フカサワ
402410,世田谷区,世田谷泉,157-0061,北烏山9-22-1,03-3300-6131,セタガヤイズミ
402420,世田谷区,世田谷総合,157-0076,岡本2-9-1,03-3700-4771,セタガヤソウゴウ
402520,新宿区,新宿山吹,162-8612,山吹町81,03-5261-9771,シンジュクヤマブキ
402530,世田谷区,芦花,157-0063,粕谷3-8-1,03-5315-3322,ロカ
402620,渋谷区,第一商業,150-0035,鉢山町8-1,03-3463-2606,ダイイチショウギョウ
402750,世田谷区,総合工科,157-0066,成城9-25-1,03-3483-0204,ソウゴウコウカ
402810,世田谷区,園芸,158-8566,深沢5-38-1,03-3705-2154,エンゲイ
402930,目黒区,国際,153-0041,駒場2-19-59,03-3468-6811,コクサイ
402940,新宿区,総合芸術,162-0067,富久町22-1,03-3354-5288,ソウゴウゲイジュツ
403010,中野区,鷺宮,165-0033,若宮3-46-8,03-3330-0101,サギノミヤ
403020,中野区,富士,164-0013,弥生町5-21-1,03-3382-0601,フジ
403030,中野区,武蔵丘,165-0031,上鷺宮2-14-1,03-3999-9308,ムサシガオカ
403040,杉並区,荻窪,167-0051,荻窪5-7-20,03-3392-6436,オギクボ
403050,杉並区,西,168-0081,宮前4-21-32,03-3333-7771,ニシ
403060,杉並区,豊多摩,166-0016,成田西2-6-18,03-3393-1331,トヨタマ
403070,杉並区,杉並,166-0016,成田西4-15-15,03-3391-6530,スギナミ
403210,練馬区,石神井,177-0051,関町北4-32-48,03-3929-0831,シャクジイ
403220,練馬区,井草,177-0044,上石神井2-2-43,03-3920-0319,イグサ
403230,練馬区,大泉,178-0063,東大泉5-3-1,03-3924-0318,オオイズミ
403240,練馬区,練馬,179-8908,春日町4-28-25,03-3990-8643,ネリマ
403250,練馬区,光丘,179-0071,旭町2-1-35,03-3977-1501,ヒカリガオカ
403280,練馬区,田柄,179-0072,光が丘2-3-1,03-3977-2555,タガラ
403410,杉並区,杉並総合,168-0073,下高井戸5-17-1,03-3303-1003,スギナミソウゴウ
403420,中野区,稔ヶ丘,165-0031,上鷺宮5-11-1,03-3990-4226,ミノリガオカ
403510,練馬区,大泉桜,178-0062,大泉町3-5-7,03-3978-1180,オオイズミサクラ
403630,練馬区,第四商業,176-0021,貫井3-45-19,03-3990-4221,ダイヨンショウギョウ
403710,中野区,中野工科,165-0027,野方3-5-5,03-3385-7445,ナカノコウカ
403720,杉並区,杉並工科,167-0023,上井草4-13-31,03-3394-2471,スギナミコウカ
403730,練馬区,練馬工科,179-8909,早宮2-9-18,03-3932-9251,ネリマコウカ
403810,杉並区,農芸,167-0035,今川3-25-1,03-3399-0191,ノウゲイ
404010,文京区,竹早,112-0002,小石川4-2-1,03-3811-6961,タケハヤ
404020,文京区,向丘,113-0023,向丘1-11-18,03-3811-2022,ムコウガオカ
404040,豊島区,豊島,171-0044,千早4-9-21,03-3958-0121,トシマ
404050,豊島区,文京,170-0001,西巣鴨1-1-5,03-3910-8231,ブンキョウ
404210,板橋区,北園,173-0004,板橋4-14-1,03-3962-7885,キタゾノ
404220,板橋区,板橋,173-0035,大谷口1-54-1,03-3973-3150,イタバシ
404250,板橋区,大山,173-0037,小茂根5-18-1,03-3958-2121,オオヤマ
404260,板橋区,高島,175-0082,高島平3-7-1,03-3938-3125,タカシマ
404410,北区,桐ヶ丘,115-0052,赤羽北3-5-22,03-3906-2173,キリガオカ
404420,北区,王子総合,114-0023,滝野川3－54－7,03-3576-0602,オウジソウゴウ
404510,北区,飛鳥,114-8561,王子6-8-8,03-3913-5071,アスカ
404520,板橋区,板橋有徳,175-0083,徳丸2-17-1,03-3937-6911,イタバシユウトク
404640,豊島区,千早,171-0044,千早3-46-21,03-5964-1721,チハヤ
404710,文京区,工芸,113-0033,本郷1-3-9,03-3814-8755,コウゲイ
404730,板橋区,北豊島工科,174-0062,富士見町28-1,03-3963-4331,キタトシマコウカ
404910,北区,赤羽北桜,115-0056,西が丘3-14-20,03-5948-4390,アカバネホクオウ
405040,台東区,白鴎,111-0041,元浅草1-6-22,03-3843-5678,ハクオウ
405050,台東区,忍岡,111-0053,浅草橋5-1-24,03-3863-3131,シノブガオカ
405060,台東区,上野,110-8717,上野公園10-14,03-3821-3706,ウエノ
405070,荒川区,竹台,116-0014,東日暮里5-14-1,03-3891-1515,タケノダイ
405210,足立区,足立,120-0011,中央本町1-3-9,03-3889-2204,アダチ
405220,足立区,江北,120-0014,西綾瀬4-14-30,03-3880-3411,コウホク
405230,足立区,淵江,121-0063,東保木間2-10-1,03-3885-6971,フチエ
405240,足立区,足立西,123-0872,江北5-7-1,03-3898-7020,アダチニシ
405250,足立区,足立東,120-0001,大谷田2-3-5,03-3620-5991,アダチヒガシ
405260,足立区,青井,120-0012,青井1-7-35,03-3848-2781,アオイ
405270,足立区,足立新田,123-0865,新田2-10-16,03-3914-4211,アダチシンデン
405410,中央区,晴海総合,104-0053,晴海1-2-1,03-3531-5021,ハルミソウゴウ
405420,足立区,小台橋,120-8528,小台2-1-31,03-3913-1111,オダイバシ
405520,台東区,浅草,111-0024,今戸1-8-13,03-3874-3182,アサクサ
405710,台東区,蔵前工科,111-0051,蔵前1-3-57,03-3862-4488,クラマエコウカ
405720,荒川区,荒川工科,116-0003,南千住6-42-1,03-3802-1178,アラカワコウカ
405730,足立区,足立工科,123-0841,西新井4-30-1,03-3899-1196,アダチコウカ
406010,墨田区,両国,130-0022,江東橋1-7-14,03-3631-1815,リョウゴク
406020,墨田区,墨田川,131-0032,東向島3-34-14,03-3611-2125,スミダガワ
406030,墨田区,本所,131-0033,向島3-37-25,03-3622-0344,ホンジョ
406040,葛飾区,葛飾野,125-0061,亀有1-7-1,03-3602-7131,カツシカノ
406050,葛飾区,南葛飾,124-0012,立石6-4-1,03-3691-8476,ミナミカツシカ
406070,墨田区,日本橋,131-0041,八広1-28-21,03-3617-1811,ニホンバシ
406210,江東区,深川,135-0016,東陽5-32-19,03-3649-2101,フカガワ
406220,江東区,東,136-0074,東砂7-19-24,03-3644-7176,ヒガシ
406230,江東区,城東,136-0072,大島3-22-1,03-3637-3561,ジョウトウ
406240,江戸川区,小松川,132-0035,平井1-27-10,03-3685-1010,コマツガワ
406250,江戸川区,江戸川,132-0031,松島2-38-1,03-3651-0297,エドガワ
406260,江戸川区,小岩,133-0044,本一色3-10-1,03-3651-2250,コイワ
406270,江戸川区,葛西南,134-8555,南葛西1-11-1,03-3687-4491,カサイミナミ
406280,江戸川区,篠崎,133-0063,東篠崎1-10-1,03-3678-9331,シノザキ
406290,江戸川区,紅葉川,134-8573,臨海町2-1-1,03-3878-3021,モミジガワ
406410,江東区,大江戸,135-0015,千石3-2-11,03-5606-9500,オオエド
406420,葛飾区,葛飾総合,125-0035,南水元4-21-1,03-3607-3878,カツシカソウゴウ
406620,葛飾区,葛飾商業,125-0051,新宿3-14-1,03-3607-5178,カツシカショウギョウ
406630,江東区,江東商業,136-0071,亀戸4-50-1,03-3685-1711,コウトウショウギョウ
406640,江東区,第三商業,135-0044,越中島3-3-1,03-3641-0380,ダイサンショウギョウ
406720,葛飾区,本所工科,125-0035,南水元4-21-1,03-3607-4500,ホンジョコウカ
406730,江東区,墨田工科,135-0004,森下5-1-7,03-3631-4928,スミダコウカ
406760,江戸川区,葛西工科,132-0024,一之江7-68-1,03-3653-4111,カサイコウカ
406780,江東区,科学技術,136-0072,大島1-2-31,03-5609-0227,カガクギジュツ
406810,葛飾区,農産,124-0002,西亀有1-28-1,03-3602-2865,ノウサン
406910,墨田区,橘,131-0043,立花4-29-7,03-3617-8311,タチバナ
407020,八王子市,富士森,193-0824,長房町420-2,042-661-0444,フジモリ
407030,八王子市,片倉,192-0914,片倉町1643,042-635-3621,カタクラ
407040,八王子市,八王子東,192-8568,高倉町68-1,042-644-6996,ハチオウジヒガシ
407050,八王子市,八王子北,193-0803,楢原町601,042-626-3787,ハチオウジキタ
407070,八王子市,松が谷,192-0354,松が谷1772,042-676-1231,マツガヤ
407080,日野市,日野,191-0021,石田1-190-1,042-581-7123,ヒノ
407090,日野市,日野台,191-0061,大坂上4-16-1,042-582-2511,ヒノダイ
407100,日野市,南平,191-0041,南平8-2-3,042-593-5121,ミナミダイラ
407210,町田市,町田,194-0021,中町4-25-3,042-722-2201,マチダ
407230,町田市,野津田,195-0063,野津田町2001,042-734-2311,ノヅタ
407240,町田市,成瀬,194-0044,成瀬7-4-1,042-725-1533,ナルセ
407250,町田市,小川,194-0003,小川2-1002-1,042-796-9301,オガワ
407260,町田市,山崎,195-0074,山崎町1453-1,042-792-2891,ヤマサキ
407420,町田市,町田総合,194-0037,木曽西3-5-1,042-791-7980,マチダソウゴウ
407510,八王子市,翔陽,193-0944,館町1097-136,042-663-3318,ショウヨウ
407520,八王子市,八王子拓真,193-0931,台町3-25-1,042-622-7563,ハチオウジタクシン
407720,町田市,町田工科,194-0035,忠生1-20-2,042-791-1035,マチダコウカ
407910,八王子市,八王子桑志,193-0835,千人町4-8-1,042-663-5970,ハチオウジソウシ
408010,立川市,立川,190-0022,錦町2-13-5,042-524-8195,タチカワ
408030,立川市,砂川,190-8583,泉町935-4,042-537-4611,スナガワ
408040,昭島市,昭和,196-0033,東町2-3-21,042-541-0222,ショウワ
408050,昭島市,拝島,196-0002,拝島町4-13-1,042-543-1772,ハイジマ
408060,東大和市,東大和,207-0015,中央3-945,042-563-1741,ヒガシヤマト
408070,武蔵村山市,武蔵村山,208-0035,中原1-7-1,042-560-1271,ムサシムラヤマ
408090,東大和市,東大和南,207-0022,桜が丘3-44-8,042-565-7117,ヒガシヤマトミナミ
408210,青梅市,多摩,198-0088,裏宿町580,0428-23-2151,タマ
408230,福生市,福生,197-0005,北田園2-11-3,042-552-5601,フッサ
