file,label,url
R7-IH-result.pdf,令和7年度 全国高等学校総合体育大会 東京都選手成績一覧,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-IH-result.pdf
R7-kantou-result.pdf,令和7年度 関東高等学校総合体育大会 東京都選手成績一覧,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-kantou-result.pdf
R7-tosoutai-result.pdf,令和7年度 東京都高等学校総合体育大会成績一覧,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-tosoutai-result.pdf
ih_result.pdf,令和6年度 全国高等学校総合体育大会 東京都選手成績一覧,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/ih_result.pdf
kt_result.pdf,令和6年度 関東高等学校総合体育大会 東京都選手成績一覧,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/kt_result.pdf
tokyo_result.pdf,令和6年度 東京都高等学校総合体育大会成績一覧,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/tokyo_result.pdf
teiji_tsushin_tokyo_result.pdf,令和6年度 全国高等学校定時制通信制総合体育大会　東京都・成績一覧,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/teiji_tsushin_tokyo_result.pdf
R5_alljapan_results.pdf,令和5年度 全国高等学校総合体育大会 東京都選手成績一覧,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf
R5_kanto_results.pdf,令和5年度 関東高等学校総合体育大会 東京都選手成績一覧,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_kanto_results.pdf
R5_tokyo_results.pdf,令和5年度 東京都高等学校総合体育大会成績一覧,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_tokyo_results.pdf
R5_teitsu_alljapan_tokyoresult.pdf,令和5年度 全国高等学校定時制通信制総合体育大会　東京都・成績一覧,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/09/R5_teitsu_alljapan_tokyoresult.pdf
