file,kai,kumi,label,url
66_Ａ組_f5145bd6ab90ce3a9afe86d9831ce5f3-2.pdf,66,Ａ組,８月１０日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/f5145bd6ab90ce3a9afe86d9831ce5f3-2.pdf
66_Ａ組_1b8c17a4b0186dfeff3c5501deff8f23.pdf,66,Ａ組,８月１１日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/1b8c17a4b0186dfeff3c5501deff8f23.pdf
66_Ａ組_44fb7569251a62225413479e3526177b-1.pdf,66,Ａ組,８月１２日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/44fb7569251a62225413479e3526177b-1.pdf
66_東日本組_ef419615aaec36d61c235f53aa40ef52.pdf,66,東日本組,８月１０日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/ef419615aaec36d61c235f53aa40ef52.pdf
66_東日本組_aaa091c582d08a722acb89b77b55f308.pdf,66,東日本組,８月１１日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/aaa091c582d08a722acb89b77b55f308.pdf
66_東日本組_d086d835ccb5e21907cd421900e8eb90-2.pdf,66,東日本組,８月１２日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d086d835ccb5e21907cd421900e8eb90-2.pdf
66_東日本組_d643df53e152a2e19bd4353d9c3c18d4.pdf,66,東日本組,東日本組代表選考会  ８月１５日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d643df53e152a2e19bd4353d9c3c18d4.pdf
66_Ｂ組_d561582e9acf3539f4c9a76ff302fd4f-1.pdf,66,Ｂ組,８月１３日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d561582e9acf3539f4c9a76ff302fd4f-1.pdf
66_Ｂ組_34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf,66,Ｂ組,８月１４日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
66_Ｃ組_3a7f12fc7d75f389b7699ec6d069c857.pdf,66,Ｃ組,８月１３日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/3a7f12fc7d75f389b7699ec6d069c857.pdf
66_Ｃ組_7d680b3494d788f321dd9ce6cce6ee74.pdf,66,Ｃ組,８月１４日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/7d680b3494d788f321dd9ce6cce6ee74.pdf
66_Ｃ組_8048f64de0e35faf3b1e3242a3a4515a.pdf,66,Ｃ組,８月１５日,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
65_Ａ組_10A.pdf,65,Ａ組,Ａ組　８月１０日　結果,https://tokousuiren.com/wp/wp-content/uploads/2025/08/10A.pdf
65_Ａ組_11A.pdf,65,Ａ組,Ａ組　８月１１日　結果,https://tokousuiren.com/wp/wp-content/uploads/2025/08/11A.pdf
65_Ａ組_12A.pdf,65,Ａ組,Ａ組　８月１２日　結果,https://tokousuiren.com/wp/wp-content/uploads/2025/08/12A.pdf
65_東日本組_0880e86fbe4b7f898ec883b8ddb8ef07-1.pdf,65,東日本組,東日本組　８月１０日　結果,https://tokousuiren.com/wp/wp-content/uploads/2025/08/0880e86fbe4b7f898ec883b8ddb8ef07-1.pdf
65_東日本組_3de6c248aa47bc7faa0bba774abea48e.pdf,65,東日本組,東日本組　８月１１日　結果,https://tokousuiren.com/wp/wp-content/uploads/2025/08/3de6c248aa47bc7faa0bba774abea48e.pdf
65_東日本組_fbc2abb6220515108b6f8c5f839217e1.pdf,65,東日本組,東日本組　８月１２日　結果,https://tokousuiren.com/wp/wp-content/uploads/2025/08/fbc2abb6220515108b6f8c5f839217e1.pdf
65_東日本組_c9c05f71695b2c5f77e568146d8409b2.pdf,65,東日本組,東日本組　８月１５日　代表選考会　結果,https://tokousuiren.com/wp/wp-content/uploads/2025/08/c9c05f71695b2c5f77e568146d8409b2.pdf
65_Ｂ組_13B-1.pdf,65,Ｂ組,Ｂ組　８月１３日　結果,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13B-1.pdf
