type,school,club,year,meet,site_text,detail,official,source
C 未検証,つばさ総合,ダンス部,令和2年度,全国大会,令和2年度は関東ダンスドリル秋季競技大会HIPHOP女子部門Large編成で2位となり全国大会へ進出しました,高体連の管轄外（高野連・高文連など）のため連盟記録では裏が取れない,,https://www.metro.ed.jp/tsubasasogo-h/school_life/activities.html
C 未検証,大田桜台,硬式テニス部,令和7年度,東京都大会,令和7年度実績 東京都高等学校新人テニス選手権大会 女子シングルス本選出場 都立高校テニス選手権大会 女子シングルス ベスト３２ 東京都旧一学区テニス大会 女子シングルス 優勝 女子ダブルス 3位 女子団体 準優勝 東京都商業高等学校テニ,高体連の管轄外（高野連・高文連など）のため連盟記録では裏が取れない,,https://www.metro.ed.jp/otasakuradai-h/school_life/activities.html
D 検証範囲外,芦花,弓道部,令和元年度,,令和元年度には念願の全国優勝を果たしました,連盟の記録は令和5〜7年度ぶんしかなく、令和元年度は突き合わせられない,,https://www.metro.ed.jp/roka-h/school_life/activities.html
D 検証範囲外,国際,,令和4年度,東京都大会,家庭科） 令和4年度 STOP! 若者の消費者トラブルCM シナリオ・動画コンテスト 入賞（家庭科） 第10回 SAGE JAPAN CUP準優勝、審査員特別賞、SDGs賞（家庭科） 第73回 東京都高等学校英語 プレイコンテスト 準優勝、,連盟の記録は令和5〜7年度ぶんしかなく、令和4年度は突き合わせられない,,https://kokusai-h.metro.ed.jp/life/club.html
C 未検証,総合芸術,映像放送制作部,平成29年,,受賞歴：平成29年11月11日（土） アジア最大規模の映像コンテスト「第19回 DigiCon6 ASIA」主催 TBS ユース部門銀賞（JAPAN Youth Silver)入賞しました,高体連の管轄外（高野連・高文連など）のため連盟記録では裏が取れない,,https://www.metro.ed.jp/sogo-geijutsu-h/school_life/activities.html
C 未検証,豊島,陸上競技部,令和6年度,東京都大会,"男子100m、女子砲丸投げ都大会出場 ・豊島区民駅伝 女子優勝 女子1,2,3区、男子4区区間賞 ・目白ロードレース 高校生～30歳未満女子5.2km 3位、5位 令和6年度の実績 ・豊島区民駅伝 女子優勝 男子３位 ・昭和記念公園リレーマ",高体連の管轄外（高野連・高文連など）のため連盟記録では裏が取れない,,https://www.metro.ed.jp/toshima-h/school_life/activities.html
D 検証範囲外,高島,高島高校ソフトテニス部,令和8年度,東京都大会（予選）,令和8年度 〈男子〉 インターハイ予選（団体） ベスト4,連盟の記録は令和5〜7年度ぶんしかなく、令和8年度は突き合わせられない,,https://www.metro.ed.jp/takashima-h/school_life/activities.html
C 未検証,荒川工科,てから吹奏楽を始めた部,令和5年度,全国大会,令和5年3月21日（火・祝）に行われた「やまがたAI甲子園」 では、探求テーマ「高齢者に安全で快適な空調管理システムの開発」２位,高体連の管轄外（高野連・高文連など）のため連盟記録では裏が取れない,,https://www.metro.ed.jp/arakawakoka-h/school_life/activities.html
D 検証範囲外,墨田川,水泳部,令和8年度,東京都大会（予選）,令和8年度 東京都高等学校選手権水泳競技大会 兼 第77回関東高等学校選手権水泳競技大会予選会 女子4×100ｍフリーリレー 第7位 関東大会出場 女子4×200ｍフリーリレー 第5位 関東大会出場 男子４×100ｍメドレーリレー 第8位,連盟の記録は令和5〜7年度ぶんしかなく、令和8年度は突き合わせられない,,https://www.metro.ed.jp/sumidagawa-h/school_life/activities.html
D 検証範囲外,深川,剣道部,令和８年度,関東大会,女子は令和８年度は東京都第８位となり、関東大会出場（1３年連続）を決めました,連盟の記録は令和5〜7年度ぶんしかなく、令和８年度は突き合わせられない,,https://www.metro.ed.jp/fukagawa-h/school_life/activities.html
C 未検証,篠崎,んなに愛される吹奏楽部,令和７年度,,令和７年度は１１名でコンクールに参加し、好成績でゴールド金賞を受賞することができました,高体連の管轄外（高野連・高文連など）のため連盟記録では裏が取れない,,https://www.metro.ed.jp/shinozaki-h/school_life/activities.html
D 検証範囲外,町田総合,ソフトボール部,令和元年度,東京都大会,令和元年に行われた、東京都公立高等学校女子ソフトボール選手権大会 地区予選でブロック優勝するなど、毎日の練習が身を結んでいます,連盟の記録は令和5〜7年度ぶんしかなく、令和元年度は突き合わせられない,,https://www.metro.ed.jp/machidasogo-h/school_life/activities.html
C 未検証,昭和,,令和5年度,関東大会,pan チアリーディング＆ダンス学生新人大会2023 EAST 1位 (Song/ Pom部門・Intermediate SuperLarge) 2023年 令和5年度ダンスドリル秋季競技大会 関東大会 2位 (NOVELTY部門) 陸上競,高体連の管轄外（高野連・高文連など）のため連盟記録では裏が取れない,,https://www.metro.ed.jp/showa-h/school_life/activities.html
D 検証範囲外,上水,女子バスケットボール部,令和4年度,東京都大会（予選）,」 令和4年度関東大会予選にて東京都第7位に入賞し、関東大会出場を果たしました,連盟の記録は令和5〜7年度ぶんしかなく、令和4年度は突き合わせられない,,https://www.metro.ed.jp/josui-h/school_life/activities.html
C 未検証,神代,華道部,令和５年度,関東大会,令和５年は「花活けバトル」関東大会３位入賞,高体連の管轄外（高野連・高文連など）のため連盟記録では裏が取れない,,https://www.metro.ed.jp/jindai-h/school_life/activities.html
C 未検証,府中西,写真部,令和３年度,,令和３年度（2021）の地区大会では、１名が佳作に入賞しました,高体連の管轄外（高野連・高文連など）のため連盟記録では裏が取れない,,https://www.metro.ed.jp/fuchunishi-h/school_life/activities.html
