raw_name,normalized,org_type,schools,variants_in_group,decided_by
バドミントン部,バドミントン,部,140,6,auto
バドミントン,バドミントン,,4,6,auto
バドミントン部,バドミントン,部,2,6,auto
バドミントン同好会,バドミントン,同好会,2,6,auto
バドミントン班,バドミントン,班,1,6,auto
バドミントン部（男・女）,バドミントン,,1,6,auto
卓球部,卓球,部,133,5,auto
卓球同好会,卓球,同好会,3,5,auto
卓球,卓球,,2,5,auto
卓球班,卓球,班,1,5,auto
卓 球,卓球,,1,5,auto
サッカー部,サッカー,部,133,5,auto
サッカー,サッカー,,3,5,auto
サッカー班,サッカー,班,1,5,auto
サッカー部（男・女）,サッカー,,1,5,auto
サッカー同好会,サッカー,同好会,1,5,auto
陸上競技部,陸上競技,部,131,4,auto
陸上競技,陸上競技,,2,4,auto
陸上競技班,陸上競技,班,1,4,auto
陸上競技同好会,陸上競技,同好会,1,4,auto
男子バスケットボール部,男子バスケットボール,部,128,5,auto
男子バスケットボール,男子バスケットボール,,3,5,auto
男子バスケットボール部,男子バスケットボール,部,2,5,auto
男子バスケットボール班,男子バスケットボール,班,1,5,auto
バスケットボール(男),男子バスケットボール,,1,5,auto
吹奏楽部,吹奏楽,部,130,3,auto
吹奏楽,吹奏楽,,3,3,auto
吹奏楽同好会,吹奏楽,同好会,2,3,auto
水泳部,水泳,部,128,5,auto
水泳,水泳,,3,5,auto
水泳班,水泳,班,1,5,auto
水 泳,水泳,,1,5,auto
水泳同好会,水泳,同好会,1,5,auto
女子バスケットボール部,女子バスケットボール,部,125,6,auto
女子バスケットボール,女子バスケットボール,,3,6,auto
女子バスケットボール部,女子バスケットボール,部,1,6,auto
女子バスケットボール班,女子バスケットボール,班,1,6,auto
バスケットボール(女),女子バスケットボール,,1,6,auto
女子バスケットボール部,女子バスケットボール,部,1,6,auto
演劇部,演劇,部,115,5,auto
演劇同好会,演劇,同好会,6,5,auto
演劇,演劇,,5,5,auto
演劇班,演劇,班,1,5,auto
演劇(同好会),演劇,,1,5,auto
ダンス部,ダンス,部,113,5,auto
ダンス,ダンス,,5,5,auto
ダンス同好会,ダンス,同好会,4,5,auto
ダンス部,ダンス,部,2,5,auto
ダンス班,ダンス,班,1,5,auto
女子バレーボール部,女子バレーボール,部,118,6,auto
女子バレーボール,女子バレーボール,,3,6,auto
女子バレーボール部,女子バレーボール,部,1,6,auto
女子バレーボール班,女子バレーボール,班,1,6,auto
女子バレーボール部,女子バレーボール,部,1,6,auto
バレーボール部（女子）,女子バレーボール,,1,6,auto
美術部,美術,部,116,6,auto
美術,美術,,4,6,auto
美術班,美術,班,1,6,auto
美 術,美術,,1,6,auto
美術愛好会,美術,愛好会,1,6,auto
美術同好会,美術,同好会,1,6,auto
剣道部,剣道,部,115,4,auto
剣道同好会,剣道,同好会,3,4,auto
剣道,剣道,,3,4,auto
剣道班,剣道,班,1,4,auto
茶道部,茶道,部,112,4,auto
茶道,茶道,,4,4,auto
茶道同好会,茶道,同好会,2,4,auto
茶道班,茶道,班,1,4,auto
軽音楽部,軽音楽,部,105,4,auto
軽音楽,軽音楽,,3,4,auto
軽音楽同好会,軽音楽,同好会,3,4,auto
軽音楽部（音楽村）,軽音楽,,1,4,auto
硬式野球部,硬式野球,部,108,3,auto
硬式野球,硬式野球,,2,3,auto
硬式野球班,硬式野球,班,1,3,auto
写真部,写真,部,95,4,auto
写真同好会,写真,同好会,11,4,auto
写真,写真,,2,4,auto
写 真,写真,,1,4,auto
硬式テニス部,硬式テニス,部,84,4,auto
硬式テニス,硬式テニス,,3,4,auto
硬式テニス班,硬式テニス,班,1,4,auto
硬式テニス部（男・女）,硬式テニス,,1,4,auto
男子バレーボール部,男子バレーボール,部,80,5,auto
男子バレーボール,男子バレーボール,,2,5,auto
男子バレーボール部,男子バレーボール,部,1,5,auto
男子バレーボール班,男子バレーボール,班,1,5,auto
男子バレーボール同好会,男子バレーボール,同好会,1,5,auto
ソフトテニス部,ソフトテニス,部,55,4,auto
ソフトテニス同好会,ソフトテニス,同好会,2,4,auto
ソフトテニス班,ソフトテニス,班,1,4,auto
ソフトテニス,ソフトテニス,,1,4,auto
文芸部,文芸,部,37,6,auto
文芸同好会,文芸,同好会,10,6,auto
文芸,文芸,,2,6,auto
文 芸,文芸,,1,6,auto
文芸愛好会,文芸,愛好会,1,6,auto
文芸部（KJ部）,文芸,,1,6,auto
男子硬式テニス部,男子硬式テニス,部,48,3,auto
男子硬式テニス,男子硬式テニス,,1,3,auto
硬式テニス部（男子）,男子硬式テニス,,1,3,auto
女子硬式テニス部,女子硬式テニス,部,48,3,auto
女子硬式テニス,女子硬式テニス,,1,3,auto
硬式テニス部（女子）,女子硬式テニス,,1,3,auto
パソコン部,パソコン,部,40,3,auto
パソコン同好会,パソコン,同好会,6,3,auto
パソコン,パソコン,,1,3,auto
柔道部,柔道,部,37,4,auto
柔道同好会,柔道,同好会,4,4,auto
柔道,柔道,,3,4,auto
柔道（錬身）部,柔道,部,1,4,auto
漫画研究部,漫画研究,部,41,2,auto
漫画研究,漫画研究,,3,2,auto
華道部,華道,部,41,2,auto
華道同好会,華道,同好会,3,2,auto
生物部,生物,部,36,4,auto
生物班,生物,班,2,4,auto
生物,生物,,2,4,auto
生物同好会,生物,同好会,2,4,auto
合唱部,合唱,部,34,3,auto
合唱同好会,合唱,同好会,4,3,auto
合 唱,合唱,,1,3,auto
家庭科部,家庭科,部,35,3,auto
家庭科,家庭科,,2,3,auto
家庭科同好会,家庭科,同好会,1,3,auto
ソフトボール部,ソフトボール,部,25,6,auto
ソフトボール,ソフトボール,,2,6,auto
ソフトボール同好会,ソフトボール,同好会,2,6,auto
ソフトボール部（休部中）,ソフトボール,,1,6,auto
ソフトボール部,ソフトボール,部,1,6,auto
ソフトボール部（男女）,ソフトボール,,1,6,auto
クッキング部,クッキング,部,26,3,auto
クッキング,クッキング,,2,3,auto
クッキング同好会,クッキング,同好会,2,3,auto
書道部,書道,部,23,3,auto
書道同好会,書道,同好会,6,3,auto
書 道,書道,,1,3,auto
放送部,放送,部,27,3,auto
放 送,放送,,1,3,auto
放送,放送,,1,3,auto
ハンドボール部,ハンドボール,部,24,4,auto
ハンドボール同好会,ハンドボール,同好会,2,4,auto
ハンドボール,ハンドボール,,2,4,auto
ハンドボール部,ハンドボール,部,1,4,auto
和太鼓部,和太鼓,部,28,2,auto
和太鼓同好会,和太鼓,同好会,1,2,auto
バレーボール部,バレーボール,部,23,4,auto
バレーボール同好会,バレーボール,同好会,4,4,auto
バレーボール,バレーボール,,1,4,auto
バレーボール部,バレーボール,部,1,4,auto
弓道部,弓道,部,25,2,auto
弓道,弓道,,1,2,auto
天文部,天文,部,24,2,auto
天文班,天文,班,1,2,auto
バスケットボール部,バスケットボール,部,24,2,auto
バスケットボール部（男・女）,バスケットボール,,1,2,auto
ボランティア部,ボランティア,部,20,3,auto
ボランティア同好会,ボランティア,同好会,4,3,auto
ボランティア愛好会,ボランティア,愛好会,1,3,auto
英語部,英語,部,16,4,auto
英語同好会,英語,同好会,6,4,auto
英語,英語,,1,4,auto
・英語部,英語,部,1,4,auto
女子サッカー部,女子サッカー,部,17,5,auto
女子サッカー同好会,女子サッカー,同好会,3,5,auto
サッカー部（女子）,女子サッカー,,1,5,auto
女子サッカー,女子サッカー,,1,5,auto
サッカー（女子）,女子サッカー,,1,5,auto
陸上部,陸上,部,19,4,auto
陸上,陸上,,2,4,auto
陸 上,陸上,,1,4,auto
陸上同好会,陸上,同好会,1,4,auto
科学部,科学,部,20,2,auto
科学同好会,科学,同好会,2,2,auto
野球部,野球,部,18,4,auto
野球,野球,,2,4,auto
野 球,野球,,1,4,auto
野球同好会,野球,同好会,1,4,auto
男子サッカー部,男子サッカー,部,18,4,auto
サッカー部（男子）,男子サッカー,,1,4,auto
男子サッカー,男子サッカー,,1,4,auto
サッカー（男子）,男子サッカー,,1,4,auto
ラグビー部,ラグビー,部,18,3,auto
ラグビー班,ラグビー,班,1,3,auto
ラグビー同好会,ラグビー,同好会,1,3,auto
園芸部,園芸,部,17,2,auto
園芸同好会,園芸,同好会,3,2,auto
テニス部,テニス,部,19,2,auto
テニス,テニス,,1,2,auto
ESS部,ESS,部,9,7,auto
ESS,ESS,,4,7,auto
ESS同好会,ESS,同好会,2,7,auto
ESS 同好会,ESS,同好会,1,7,auto
ESS（英語）班,ESS,班,1,7,auto
ＥＳＳ,ESS,,1,7,auto
ESS（英会話）部,ESS,部,1,7,auto
軟式野球部,軟式野球,部,18,2,auto
軟式野球同好会,軟式野球,同好会,1,2,auto
イラスト部,イラスト,部,16,1,auto
囲碁将棋部,囲碁将棋,部,10,3,auto
