school_name,designation,designation_rank,period,source
日比谷,進学指導重点校,1,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
西,進学指導重点校,1,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
国立,進学指導重点校,1,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
八王子東,進学指導重点校,1,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
戸山,進学指導重点校,1,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
青山,進学指導重点校,1,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
立川,進学指導重点校,1,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
小山台,進学指導特別推進校,2,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
駒場,進学指導特別推進校,2,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
新宿,進学指導特別推進校,2,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
町田,進学指導特別推進校,2,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
国分寺,進学指導特別推進校,2,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
国際,進学指導特別推進校,2,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
小松川,進学指導特別推進校,2,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
三田,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
豊多摩,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
竹早,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
北園,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
墨田川,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
城東,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
武蔵野北,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
小金井北,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
江北,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
江戸川,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
調布北,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
日野台,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
多摩科学技術,進学指導推進校,3,令和5年度〜令和9年度,都教委報告資料(令和4年9月22日)
上野,進学指導推進校,3,令和5年度〜令和9年度(新規指定),都教委報告資料(令和4年9月22日)
昭和,進学指導推進校,3,令和5年度〜令和9年度(新規指定),都教委報告資料(令和4年9月22日)
