school,ward,departments,designation,band_draft,band_final,note,ref_ratio_avg_5yr,ref_ratio_r8
八王子東,八王子市,普,進学指導重点校,5,,,1.4,1.22
立川,立川市,普・他,進学指導重点校,5,,,1.42,1.47
国立,国立市,普,進学指導重点校,5,,,1.5,1.31
西,杉並区,普,進学指導重点校,5,,,1.68,1.52
戸山,新宿区,普,進学指導重点校,5,,,1.99,1.88
日比谷,千代田区,普,進学指導重点校,5,,,2.06,2.06
青山,渋谷区,普,進学指導重点校,5,,,2.07,2.06
小松川,江戸川区,普,進学指導特別推進校,4,,,1.25,1.17
町田,町田市,普,進学指導特別推進校,4,,,1.26,1.21
小山台,品川区,普,進学指導特別推進校,4,,,1.49,1.63
国分寺,国分寺市,普,進学指導特別推進校,4,,,1.61,1.62
駒場,目黒区,普・他,進学指導特別推進校,4,,,1.76,2.08
新宿,新宿区,普,進学指導特別推進校,4,,,2.24,2.21
国際,目黒区,他,進学指導特別推進校,4,,,2.35,2.03
日野台,日野市,普,進学指導推進校,3,,,1.12,1.46
墨田川,墨田区,普,進学指導推進校,3,,,1.24,1.17
武蔵野北,武蔵野市,普,進学指導推進校,3,,,1.43,1.49
竹早,文京区,普,進学指導推進校,3,,,1.51,1.85
小金井北,小金井市,普,進学指導推進校,3,,,1.52,1.62
三田,港区,普,進学指導推進校,3,,,1.56,1.33
江戸川,江戸川区,普,進学指導推進校,3,,,1.58,1.55
調布北,調布市,普,進学指導推進校,3,,,1.65,1.73
江北,足立区,普,進学指導推進校,3,,,1.66,1.67
城東,江東区,普,進学指導推進校,3,,,1.66,1.64
多摩科学技術,小金井市,工,進学指導推進校,3,,,1.69,1.42
昭和,昭島市,普,進学指導推進校,3,,,1.74,1.87
北園,板橋区,普,進学指導推進校,3,,,1.83,1.66
上野,台東区,普,進学指導推進校,3,,,1.86,1.87
豊多摩,杉並区,普,進学指導推進校,3,,,1.94,1.66
富士,中野区,普,,,,応募状況に不在=高校募集停止（中高一貫）の可能性。要確認,,
大泉,練馬区,普,,,,応募状況に不在=高校募集停止（中高一貫）の可能性。要確認,,
白鴎,台東区,普,,,,応募状況に不在=高校募集停止（中高一貫）の可能性。要確認,,
両国,墨田区,普,,,,応募状況に不在=高校募集停止（中高一貫）の可能性。要確認,,
武蔵,武蔵野市,普,,,,応募状況に不在=高校募集停止（中高一貫）の可能性。要確認,,
三宅,三宅村,普・農・家,,,,,0.09,0.05
新島,新島村,普,,,,,0.28,0.23
杉並工科,杉並区,工,,,,,0.31,0.32
大島,大島町,普・農・家,,,,,0.35,0.34
墨田工科,江東区,工,,,,,0.37,0.43
神津,神津島村,普,,,,,0.39,0.43
八丈,八丈町,普・農・家,,,,,0.41,0.36
五日市,あきる野市,普,,,,,0.42,0.41
北豊島工科,板橋区,工,,,,,0.45,0.4
六郷工科,大田区,工,,,,,0.53,0.75
大森,大田区,普,,,,,0.56,0.5
蔵前工科,台東区,工,,,,,0.58,0.41
多摩,青梅市,普,,,,,0.58,0.32
赤羽北桜,北区,家・福,,,,,0.59,0.98
小笠原,小笠原村,普,,,,,0.61,0.53
野津田,町田市,普・福・他,,,,,0.62,0.38
羽村,羽村市,普,,,,,0.66,0.35
葛西工科,江戸川区,工,,,,,0.67,0.81
田柄,練馬区,普,,,,,0.68,0.49
足立工科,足立区,工,,,,,0.69,0.58
大山,板橋区,普,,,,,0.7,0.46
深沢,世田谷区,普,,,,,0.72,0.63
荒川工科,荒川区,工,,,,,0.72,0.52
大田桜台,大田区,商,,,,,0.75,0.83
青井,足立区,普,,,,,0.75,0.41
田無工科,西東京市,工,,,,,0.75,0.75
総合工科,世田谷区,工,,,,,0.78,0.67
江東商業,江東区,商,,,,,0.8,0.89
山崎,町田市,普,,,,,0.82,0.37
瑞穂農芸,瑞穂町,農・家,,,,,0.82,0.72
第四商業,練馬区,商,,,,,0.83,0.81
光丘,練馬区,普,,,,,0.84,0.74
葛西南,江戸川区,普,,,,,0.85,0.79
町田工科,町田市,工,,,,,0.86,0.49
芝商業,港区,商,,,,,0.87,0.84
第一商業,渋谷区,商,,,,,0.89,0.52
中野工科,中野区,工,,,,,0.89,0.87
東村山西,東村山市,普,,,,,0.89,0.69
橘,墨田区,他,,,,,0.9,0.53
八潮,品川区,普,,,,,0.91,0.7
練馬工科,練馬区,工,,,,,0.94,0.9
板橋有徳,板橋区,普,,,,,0.96,0.99
農産,葛飾区,農,,,,,0.96,0.98
葛飾商業,葛飾区,商,,,,,0.98,0.84
足立新田,足立区,普,,,,,0.99,1.04
町田総合,町田市,総,,,,,1.0,1.01
翔陽,八王子市,普,,,,,1.02,0.96
府中工科,府中市,工,,,,,1.02,1.29
葛飾総合,葛飾区,総,,,,,1.03,1.04
第三商業,江東区,商,,,,,1.03,1.1
拝島,昭島市,普,,,,,1.03,0.96
美原,大田区,普,,,,,1.04,0.74
大泉桜,練馬区,普,,,,,1.04,0.96
忍岡,台東区,普・家,,,,,1.04,1.08
篠崎,江戸川区,普,,,,,1.05,0.89
武蔵村山,武蔵村山市,普,,,,,1.05,1.03
秋留台,あきる野市,普,,,,,1.06,0.91
淵江,足立区,普,,,,,1.07,0.94
園芸,世田谷区,農,,,,,1.08,0.92
久留米西,東久留米市,普,,,,,1.09,0.9
永山,多摩市,普,,,,,1.09,0.95
片倉,八王子市,普,,,,,1.1,0.66
多摩工科,福生市,工,,,,,1.1,1.21
若葉総合,稲城市,総,,,,,1.1,0.84
つばさ総合,大田区,総,,,,,1.11,1.12
大島海洋国際,大島町,水,,,,,1.11,1.36
世田谷総合,世田谷区,総,,,,,1.12,1.15
足立東,足立区,普,,,,,1.12,0.85
飛鳥,北区,普,,,,,1.13,1.15
足立西,足立区,普,,,,,1.13,1.04
蒲田,大田区,普,,,,,1.14,0.91
桜町,世田谷区,普,,,,,1.14,1.13
千歳丘,世田谷区,普,,,,,1.17,1.3
葛飾野,葛飾区,普,,,,,1.17,1.13
八王子北,八王子市,普,,,,,1.17,1.13
青梅総合,青梅市,総,,,,,1.17,1.01
第五商業,国立市,商,,,,,1.17,1.32
東久留米総合,東久留米市,総,,,,,1.18,1.32
練馬,練馬区,普,,,,,1.19,1.13
府中西,府中市,普,,,,,1.19,1.14
高島,板橋区,普,,,,,1.2,1.12
八王子桑志,八王子市,他,,,,,1.2,1.1
福生,福生市,普,,,,,1.2,1.1
東大和,東大和市,普,,,,,1.21,1.25
小平西,小平市,普,,,,,1.21,1.15
農芸,杉並区,農,,,,,1.23,1.26
小川,町田市,普,,,,,1.24,1.13
清瀬,清瀬市,普,,,,,1.25,1.2
王子総合,北区,総,,,,,1.27,1.07
千早,豊島区,商,,,,,1.27,1.11
成瀬,町田市,普,,,,,1.27,1.22
富士森,八王子市,普,,,,,1.28,1.29
松が谷,八王子市,普,,,,,1.29,1.46
総合芸術,新宿区,他,,,,,1.3,1.18
日本橋,墨田区,普,,,,,1.32,1.08
田無,西東京市,普,,,,,1.34,1.19
南葛飾,葛飾区,普,,,,,1.35,1.26
科学技術,江東区,工・他,,,,,1.35,0.73
紅葉川,江戸川区,普,,,,,1.36,1.2
上水,武蔵村山市,普,,,,,1.38,1.48
東村山,東村山市,普,,,,,1.4,0.98
府中東,府中市,普,,,,,1.4,1.3
松原,世田谷区,普,,,,,1.41,1.58
杉並,杉並区,普,,,,,1.41,1.41
杉並総合,杉並区,総,,,,,1.43,1.42
板橋,板橋区,普,,,,,1.43,1.57
工芸,文京区,工,,,,,1.43,1.44
竹台,荒川区,普,,,,,1.43,1.39
足立,足立区,普,,,,,1.47,1.36
南平,日野市,普,,,,,1.47,1.3
東大和南,東大和市,普,,,,,1.47,1.67
保谷,西東京市,普,,,,,1.49,1.44
小平,小平市,普,,,,,1.5,1.45
大崎,品川区,普,,,,,1.52,1.58
日野,日野市,普,,,,,1.52,1.81
文京,豊島区,普,,,,,1.54,1.34
小平南,小平市,普,,,,,1.55,1.43
本所,墨田区,普,,,,,1.57,1.44
武蔵丘,中野区,普,,,,,1.63,1.26
小岩,江戸川区,普,,,,,1.63,1.37
東,江東区,普,,,,,1.66,1.58
井草,練馬区,普,,,,,1.67,1.24
深川,江東区,普,,,,,1.67,1.41
狛江,狛江市,普,,,,,1.67,1.68
農業,府中市,農・家,,,,,1.69,1.9
雪谷,大田区,普,,,,,1.72,1.62
向丘,文京区,普,,,,,1.72,1.57
府中,府中市,普,,,,,1.74,1.63
調布南,調布市,普,,,,,1.77,1.49
田園調布,大田区,普,,,,,1.78,1.63
石神井,練馬区,普,,,,,1.79,1.65
鷺宮,中野区,普,,,,,1.82,1.83
芦花,世田谷区,普,,,,,1.89,1.46
晴海総合,中央区,総,,,,,1.9,2.08
神代,調布市,普,,,,,1.9,1.68
目黒,目黒区,普,,,,,1.97,2.09
