school,department,sub_department,capacity,applicants,ratio
芝商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,102,98,0.96
江東商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,100,0.95
第三商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,125,1.19
第一商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,117,0.93
第四商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,105,93,0.89
葛飾商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,122,0.97
第五商業,商業に関する学科,ﾋﾞｼﾞﾈｽ,126,157,1.25
大田桜台,ビジネスコミュニケーション科,ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ,105,107,1.02
千早,ビジネスコミュニケーション科,ﾋﾞｼﾞﾈｽｺﾐｭﾆｹｰｼｮﾝ,126,149,1.18
工芸,工業に関する学科（単位制以外の学校）,ﾏｼﾝｸﾗﾌﾄ,25,30,1.2
工芸,工業に関する学科（単位制以外の学校）,ｱｰﾄｸﾗﾌﾄ,25,36,1.44
工芸,工業に関する学科（単位制以外の学校）,ｲﾝﾃﾘｱ,25,34,1.36
工芸,工業に関する学科（単位制以外の学校）,ﾃﾞｻﾞｲﾝ,25,52,2.08
工芸,工業に関する学科（単位制以外の学校）,ｸﾞﾗﾌｨｯｸｱｰﾂ,25,54,2.16
蔵前工科,工業に関する学科（単位制以外の学校）,機械,41,36,0.88
蔵前工科,工業に関する学科（単位制以外の学校）,電気,20,24,1.2
蔵前工科,工業に関する学科（単位制以外の学校）,建築,19,34,1.79
蔵前工科,工業に関する学科（単位制以外の学校）,設備工業,20,9,0.45
墨田工科,工業に関する学科（単位制以外の学校）,機械,26,9,0.35
墨田工科,工業に関する学科（単位制以外の学校）,自動車,21,24,1.14
墨田工科,工業に関する学科（単位制以外の学校）,電気,57,13,0.23
墨田工科,工業に関する学科（単位制以外の学校）,建築,28,8,0.29
総合工科,工業に関する学科（単位制以外の学校）,機械・自動車,21,19,0.9
総合工科,工業に関する学科（単位制以外の学校）,電気・情報ﾃﾞｻﾞｲﾝ,42,26,0.62
総合工科,工業に関する学科（単位制以外の学校）,建築・都市工学,42,13,0.31
中野工科,工業に関する学科（単位制以外の学校）,食品ｻｲｴﾝｽ,63,58,0.92
杉並工科,工業に関する学科（単位制以外の学校）,IT・環境,104,35,0.34
荒川工科,工業に関する学科（単位制以外の学校）,電気,23,15,0.65
荒川工科,工業に関する学科（単位制以外の学校）,電子,30,7,0.23
荒川工科,工業に関する学科（単位制以外の学校）,情報技術,67,23,0.34
北豊島工科,工業に関する学科（単位制以外の学校）,都市防災技術,98,44,0.45
練馬工科,工業に関する学科（単位制以外の学校）,ｷｬﾘｱ技術,88,116,1.32
足立工科,工業に関する学科（単位制以外の学校）,総合技術,107,71,0.66
葛西工科,工業に関する学科（単位制以外の学校）,機械,28,19,0.68
葛西工科,工業に関する学科（単位制以外の学校）,電子,21,21,1.0
葛西工科,工業に関する学科（単位制以外の学校）,建築,49,26,0.53
葛西工科,工業に関する学科（単位制以外の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,22,12,0.55
府中工科,工業に関する学科（単位制以外の学校）,機械,21,14,0.67
府中工科,工業に関する学科（単位制以外の学校）,電気,42,42,1.0
府中工科,工業に関する学科（単位制以外の学校）,情報技術,23,23,1.0
府中工科,工業に関する学科（単位制以外の学校）,工業技術,21,21,1.0
町田工科,工業に関する学科（単位制以外の学校）,総合情報,105,110,1.05
多摩工科,工業に関する学科（単位制以外の学校）,機械,42,39,0.93
多摩工科,工業に関する学科（単位制以外の学校）,電気,21,33,1.57
多摩工科,工業に関する学科（単位制以外の学校）,環境化学,21,11,0.52
多摩工科,工業に関する学科（単位制以外の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,21,23,1.1
田無工科,工業に関する学科（単位制以外の学校）,機械,42,29,0.69
田無工科,工業に関する学科（単位制以外の学校）,建築,42,31,0.74
田無工科,工業に関する学科（単位制以外の学校）,都市工学,21,8,0.38
六郷工科,工業に関する学科（単位制の学校）,ﾌﾟﾛﾀﾞｸﾄ工学,23,12,0.52
六郷工科,工業に関する学科（単位制の学校）,ｵｰﾄﾓﾋﾞﾙ工学,20,22,1.1
六郷工科,工業に関する学科（単位制の学校）,ｼｽﾃﾑ工学,20,31,1.55
六郷工科,工業に関する学科（単位制の学校）,ﾃﾞｻﾞｲﾝ工学,20,18,0.9
六郷工科,工業に関する学科（単位制の学校）,ﾃﾞｭｱﾙｼｽﾃﾑ,25,4,0.16
科学技術,科学技術科,科学技術,105,131,1.25
多摩科学技術,科学技術科,科学技術,147,252,1.71
園芸,農業に関する学科,園芸,49,52,1.06
園芸,農業に関する学科,食品,25,35,1.4
園芸,農業に関する学科,動物,25,53,2.12
