school_number,name,station,mode,ride_min,walk_min,total_min,alight_stop,detail,source_url
405250,足立東,亀有,walk,,25,25,,JR常磐線 亀有駅（徒歩 約25分）,https://www.metro.ed.jp/adachihigashi-h/access/access.html
405250,足立東,北綾瀬,walk,,25,25,,東京メトロ千代田線 北綾瀬駅（徒歩 約25分）,https://www.metro.ed.jp/adachihigashi-h/access/access.html
405250,足立東,北綾瀬,bus,,,,,最寄駅からバスを使う場合,https://www.metro.ed.jp/adachihigashi-h/access/access.html
405250,足立東,亀有,bus,,,,,亀有駅北口バス停 4番乗り場,https://www.metro.ed.jp/adachihigashi-h/access/access.html
405250,足立東,八潮,bus,,2,,中川小学校前,有64八潮駅南口行 「中川小学校前」下車 徒歩 約2分,https://www.metro.ed.jp/adachihigashi-h/access/access.html
405250,足立東,亀有,bus,,5,,大谷田陸橋,有26葛飾車庫行 「大谷田陸橋」下車 徒歩 約5分,https://www.metro.ed.jp/adachihigashi-h/access/access.html
405250,足立東,亀有,bus,,5,,大谷田四丁目,有28六ツ木都住行 「大谷田四丁目」下車 徒歩 約5分,https://www.metro.ed.jp/adachihigashi-h/access/access.html
405730,足立工科,谷在家,bus,,10,,,日暮里・舎人ライナー「谷在家」駅 東口下車 徒歩10分,https://www.metro.ed.jp/adachikoka-h/access/access.html
405730,足立工科,大師前,bus,,15,,,東武鉄道 大師線 「大師前」駅 下車 徒歩15分,https://www.metro.ed.jp/adachikoka-h/access/access.html
405730,足立工科,西新井,bus,,,,,東武鉄道 東武スカイツリ－ライン(東京メトロ 日比谷線・半蔵門線 直通) 「西新井」駅 下車,https://www.metro.ed.jp/adachikoka-h/access/access.html
405730,足立工科,西新井,bus,,3,,西新井駅西口,「西新井駅西口」バス停より 2番のりば 〔西03〕流通センターゆき 「足立工科高校前」下車 徒歩3分,https://www.metro.ed.jp/adachikoka-h/access/access.html
405730,足立工科,西新井,bus,,2,,西新井駅,「西新井駅」バス停より 5番のりば 〔赤23〕荒川大橋経由赤羽駅東口ゆき 「足立工科高校南」下車 徒歩2分,https://www.metro.ed.jp/adachikoka-h/access/access.html
405240,足立西,江北,walk,,8,8,,日暮里・舎人ライナー江北駅より徒歩約8分,https://www.metro.ed.jp/adachinishi-h/access/access.html
405240,足立西,王子,bus,,,,,王子駅よりバス（東武/都営/国際興業）,https://www.metro.ed.jp/adachinishi-h/access/access.html
405270,足立新田,王子神谷,walk,,12,12,,東京メトロ南北線「王子神谷駅」より徒歩約12分,https://www.metro.ed.jp/adachishinden-h/access/access.html
405270,足立新田,王子,bus,,2,,王子駅,JR京浜東北線、東京メトロ南北線「王子駅」よりバス「新田三丁目」下車徒歩約2分,https://www.metro.ed.jp/adachishinden-h/access/access.html
405270,足立新田,北千住,bus,,2,,北千住駅,JR常磐線、東京メトロ千代田線・日比谷線、東武スカイツリーライン、つくばエクスプレス「北千住駅」よりバス「新田三丁目」下車徒歩約2分,https://www.metro.ed.jp/adachishinden-h/access/access.html
405270,足立新田,赤羽,bus,,3,,新田二丁目,JR各線「赤羽駅」東口よりバス「新田二丁目」より徒歩約3分、または「環七新田」下車徒歩約5分,https://www.metro.ed.jp/adachishinden-h/access/access.html
405270,足立新田,上板橋,bus,,10,,上板橋駅,東武東上線「上板橋駅」よりバス「北区神谷町」より徒歩約10分,https://www.metro.ed.jp/adachishinden-h/access/access.html
404910,赤羽北桜,本蓮沼,walk,,10,10,,地下鉄 都営三田線 本蓮沼駅 徒歩10分,https://www.metro.ed.jp/akabanehokuo-h/access/access.html
404910,赤羽北桜,赤羽,walk,,20,20,,JR 赤羽駅西口 徒歩20分,https://www.metro.ed.jp/akabanehokuo-h/access/access.html
404910,赤羽北桜,王子,bus,6,0,6,,国際興業バス［王子駅］行 6番のりばHPSC 陸上門 6分・徒歩0分,https://www.metro.ed.jp/akabanehokuo-h/access/access.html
404910,赤羽北桜,十条,walk,,20,20,,JR 十条駅北口 徒歩20分,https://www.metro.ed.jp/akabanehokuo-h/access/access.html
404910,赤羽北桜,赤羽,bus,10,1,11,,南口 国際興業バス［赤羽駅西口］行HPSC 陸上門10分・徒歩1分,https://www.metro.ed.jp/akabanehokuo-h/access/access.html
408240,秋留台,東秋留,bus,,20,,東秋留駅,JR五日市線 「東秋留駅」下車 徒歩20分,https://www.metro.ed.jp/akirudai-h/access/access.html
408240,秋留台,福生,bus,,10,,福生駅,JR青梅線「福生駅」下車後、西東京バス乗り換え「草花駅」下車 徒歩10分,https://www.metro.ed.jp/akirudai-h/access/access.html
405260,青井,五反野,walk,,12,12,,東武スカイツリーライン 五反野駅下車 徒歩12分,https://www.metro.ed.jp/aoi-h/access/access.html
405260,青井,青井,walk,,12,12,,つくばエクスプレス 青井駅下車 徒歩12分,https://www.metro.ed.jp/aoi-h/access/access.html
405260,青井,青井,bus,,6,,,都バス 一ツ家三丁目下車 徒歩6分,https://www.metro.ed.jp/aoi-h/access/access.html
402070,青山,外苑前,walk,,3,3,,交通機関 東京メトロ銀座線 外苑前駅 （出口2b）より 徒歩3分,https://www.metro.ed.jp/aoyama-h/access/access.html
402070,青山,国立競技場,walk,,15,15,,都営地下鉄大江戸線 国立競技場駅 より 徒歩15分,https://www.metro.ed.jp/aoyama-h/access/access.html
402070,青山,信濃町,walk,,15,15,,JR中央・総武線 信濃町駅 または 千駄ヶ谷駅 より 徒歩15分,https://www.metro.ed.jp/aoyama-h/access/access.html
402070,青山,渋谷,bus,,,,,都バス 早81系 早大正門～渋谷駅 霞ヶ丘団地 下車,https://www.metro.ed.jp/aoyama-h/access/access.html
402070,青山,目黒,bus,,,,,黒77系 目黒駅～千駄ヶ谷駅 北青山三丁目 下車,https://www.metro.ed.jp/aoyama-h/access/access.html
405720,荒川工科,南千住,walk,,12,12,,JR常磐線 南千住駅 徒歩12分,https://www.metro.ed.jp/arakawakoka-h/access/access.html
405720,荒川工科,千住大橋,walk,,12,12,,京成電鉄 千住大橋駅 徒歩12分,https://www.metro.ed.jp/arakawakoka-h/access/access.html
405720,荒川工科,三ノ輪,walk,,12,12,,地下鉄日比谷線 三ノ輪駅 徒歩12分,https://www.metro.ed.jp/arakawakoka-h/access/access.html
405720,荒川工科,南千住,walk,,12,12,,JR常磐線・地下鉄日比谷線・つくばエクスプレス 南千住駅 徒歩12分,https://www.metro.ed.jp/arakawakoka-he/access/access.html
405720,荒川工科,千住大橋,walk,,12,12,,京成電鉄 千住大橋駅 徒歩12分,https://www.metro.ed.jp/arakawakoka-he/access/access.html
405720,荒川工科,三ノ輪橋,walk,,10,10,,都電荒川線 三ノ輪橋停留場 徒歩10分,https://www.metro.ed.jp/arakawakoka-he/access/access.html
405720,荒川工科,三ノ輪,walk,,12,12,,地下鉄日比谷線 三ノ輪駅 徒歩12分,https://www.metro.ed.jp/arakawakoka-he/access/access.html
405520,浅草,浅草,walk,,10,10,,東武スカイツリーライン 浅草駅 中央改札口から 徒歩約１０分,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,南千住,bus,,,,,都バス（東４２甲）「南千住駅西口・車庫」行,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,浅草橋,bus,15,2,17,浅草橋駅,「浅草橋駅」より約１５分／「東武浅草駅」より約５分、「浅草七丁目」にて下車し徒歩２分,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,東京,bus,,,,,都バス（東４２甲）「東京駅八重洲口・東神田駅」行,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,南千住,bus,10,1,11,南千住駅,「南千住駅」より約１０分、「浅草七丁目」にて下車し徒歩１分,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,尾久,bus,25,6,31,尾久駅前,「尾久駅前」より約２５分、「浅草警察署前」にて下車し徒歩６分,https://www.metro.ed.jp/asakusa-he/access/access.html
405520,浅草,尾久,bus,,,,,→ バスの案内図はこちら,https://www.metro.ed.jp/asakusa-he/access/access.html
404510,飛鳥,ときわ台,bus,,3,,,新宿西口・上板橋・ときわ台駅・西新井大師・北千住方面より王子4丁目バス停徒歩3分,https://www.metro.ed.jp/asuka-h/access/access.html
404510,飛鳥,江北,bus,,8,,,日暮里舎人ライナー江北駅より王40系統王子方面行きバス豊島4丁目下車徒歩8分,https://www.metro.ed.jp/asuka-h/access/access.html
404050,文京,大塚,walk,,7,7,,JR山手線「大塚駅」北口から徒歩7分,https://www.metro.ed.jp/bunkyo-h/access/access.html
404050,文京,巣鴨新田,walk,,1,1,,都電荒川線「巣鴨新田駅」から徒歩1分,https://www.metro.ed.jp/bunkyo-h/access/access.html
404050,文京,西巣鴨,walk,,11,11,,都営三田線「西巣鴨駅」から徒歩11分,https://www.metro.ed.jp/bunkyo-h/access/access.html
404640,千早,千川,walk,,7,7,,東京メトロ有楽町線副都心線 千川駅 A3出口より徒歩7分,https://www.metro.ed.jp/chihaya-h/access/access.html
404640,千早,東長崎,walk,,10,10,,西武池袋線東長崎駅北口より徒歩10分,https://www.metro.ed.jp/chihaya-h/access/access.html
410030,調布北,調布,bus,15,,15,調布北高校前,調布駅北口12番乗り場から「三鷹駅行き」（鷹56） 所要時間約15分 「調布北高校前」下車,https://www.metro.ed.jp/chofukita-h/access/access.html
410030,調布北,吉祥寺,bus,20,,20,調布北高校前,吉祥寺駅４番乗り場から「調布駅北口行き」（吉06） 所要時間約20分 「調布北高校前」下車,https://www.metro.ed.jp/chofukita-h/access/access.html
410030,調布北,三鷹,bus,15,,15,調布北高校前,三鷹駅（南口）２番乗り場から「調布駅北口行き」（鷹56） 所用時間約15分 「調布北高校前」下車,https://www.metro.ed.jp/chofukita-h/access/access.html
410030,調布北,武蔵境,bus,10,,10,野崎八幡,武蔵境駅南口２番乗り場から「境南循環経由 武蔵境駅南口行き」（境92） 所要時間約10分 「野崎八幡」下車,https://www.metro.ed.jp/chofukita-h/access/access.html
410040,調布南,京王多摩川,walk,,3,3,,京王相模原線 京王多摩川駅から徒歩3分,https://www.metro.ed.jp/chofuminami-h/access/access.html
410040,調布南,調布,walk,,12,12,,京王線 調布駅から徒歩12分,https://www.metro.ed.jp/chofuminami-h/access/access.html
410610,第五商業,国立,walk,,18,18,,徒歩18分,https://www.metro.ed.jp/daigosyogyo-he/access/access.html
410610,第五商業,立川,bus,,2,,,国立駅6番バス停『立川駅南口行き』乗車『五商入口』にて下車徒歩2分,https://www.metro.ed.jp/daigosyogyo-he/access/access.html
410610,第五商業,谷保,walk,,16,16,,徒歩16分,https://www.metro.ed.jp/daigosyogyo-he/access/access.html
402620,第一商業,渋谷,walk,,13,13,,JR線・地下鉄 渋谷駅 徒歩13分,https://www.metro.ed.jp/daiichishogyo-h/access/access.html
402620,第一商業,代官山,walk,,7,7,,東急東横線 代官山駅 徒歩7分,https://www.metro.ed.jp/daiichishogyo-h/access/access.html
402620,第一商業,中目黒,walk,,12,12,,地下鉄 中目黒駅 徒歩12分,https://www.metro.ed.jp/daiichishogyo-h/access/access.html
402620,第一商業,神泉,walk,,17,17,,京王井の頭線 神泉駅 徒歩17分,https://www.metro.ed.jp/daiichishogyo-h/access/access.html
