school_number,name,slug,access_text,source_url
405210,足立,adachi-h,路線案内,https://www.metro.ed.jp/adachi-h/access/access.html
405210,足立,adachi-he,路線案内,https://www.metro.ed.jp/adachi-he/access/access.html
405250,足立東,adachihigashi-h,"路線案内
最寄駅
JR常磐線 亀有駅（徒歩 約25分）
東京メトロ千代田線 北綾瀬駅（徒歩 約25分）
最寄駅からバスを使う場合
亀有駅北口バス停 4番乗り場
有64八潮駅南口行 「中川小学校前」下車 徒歩 約2分
有65六ツ木都住行 「中川小学校前」下車 徒歩 約2分
亀有駅北口バス停 2番乗り場
有26葛飾車庫行 「大谷田陸橋」下車 徒歩 約5分
有27西水元循環 「大谷田陸橋」下車 徒歩 約5分
亀有駅北口バス停 1番乗り場
有28六ツ木都住行 「大谷田四丁目」下車 徒歩 約5分",https://www.metro.ed.jp/adachihigashi-h/access/access.html
405730,足立工科,adachikoka-h,"路線案内
最寄駅
日暮里・舎人ライナー「谷在家」駅 東口下車 徒歩10分
東武鉄道 大師線 「大師前」駅 下車 徒歩15分
東武鉄道 東武スカイツリ－ライン(東京メトロ 日比谷線・半蔵門線 直通) 「西新井」駅 下車
東武バス
「西新井駅西口」バス停より 2番のりば 〔西03〕流通センターゆき 「足立工科高校前」下車 徒歩3分
「西新井駅西口」バス停より 2番のりば 〔西04〕竹の塚車庫ゆき（西新井消防署前経由） 「足立工科高校前」下車 徒歩3分
「西新井駅西口」バス停より 2番のりば 〔西07〕鹿浜都市農業公園ゆき「足立工科高校南」下車 徒歩2分
国際興業バス
「西新井駅」バス停より 5番のりば 〔赤23〕荒川大橋経由赤羽駅東口ゆき 「足立工科高校南」下車 徒歩2分",https://www.metro.ed.jp/adachikoka-h/access/access.html
405240,足立西,adachinishi-h,"路線案内
日暮里・舎人ライナー江北駅より徒歩約8分
西新井駅・日暮里駅・西日暮里駅
王子駅よりバス（東武/都営/国際興業）
江北陸橋下バス停より徒歩約3分",https://www.metro.ed.jp/adachinishi-h/access/access.html
405270,足立新田,adachishinden-h,"路線案内
東京メトロ南北線「王子神谷駅」より徒歩約12分
JR京浜東北線、東京メトロ南北線「王子駅」よりバス「新田三丁目」下車徒歩約2分
JR常磐線、東京メトロ千代田線・日比谷線、東武スカイツリーライン、つくばエクスプレス「北千住駅」よりバス「新田三丁目」下車徒歩約2分
JR各線「赤羽駅」東口よりバス「新田二丁目」より徒歩約3分、または「環七新田」下車徒歩約5分
東武東上線「上板橋駅」よりバス「北区神谷町」より徒歩約10分",https://www.metro.ed.jp/adachishinden-h/access/access.html
404910,赤羽北桜,akabanehokuo-h,"地下鉄 都営三田線 本蓮沼駅 徒歩10分
JR 赤羽駅西口 徒歩20分
国際興業バス［王子駅］行 6番のりばHPSC 陸上門 6分・徒歩0分
国際興業バス［トンネル経由 赤羽車庫］行 5番のりばHPSC 陸上門 6分・徒歩0分
JR 十条駅北口 徒歩20分
南口 国際興業バス［赤羽駅西口］行HPSC 陸上門10分・徒歩1分
東武東上線ときわ台駅
北口 国際興業バス［赤羽駅西口］行2番のりばHPSC 陸上門20分・徒歩1分
国際興業バス 姥ヶ橋 徒歩10分",https://www.metro.ed.jp/akabanehokuo-h/access/access.html
408240,秋留台,akirudai-h,"路線案内
JR五日市線 「東秋留駅」下車 徒歩20分
JR青梅線「福生駅」下車後、西東京バス乗り換え「草花駅」下車 徒歩10分
JR五日市線 「東秋留駅」までの各駅所要時間
「拝島駅」30分、「箱根ヶ崎駅」40分、「玉川上水駅」40分、「立川駅」45分、「青梅駅」50分、「国分寺駅」55分、「分倍河原駅」55分、「八王子駅」60分、「高幡不動駅」60分、「小平駅」70分、「多摩センター駅」80分",https://www.metro.ed.jp/akirudai-h/access/access.html
405260,青井,aoi-h,"路線案内
東武スカイツリーライン 五反野駅下車 徒歩12分
つくばエクスプレス 青井駅下車 徒歩12分
都バス 一ツ家三丁目下車 徒歩6分",https://www.metro.ed.jp/aoi-h/access/access.html
402070,青山,aoyama-h,"路線案内
交通機関 東京メトロ銀座線 外苑前駅 （出口2b）より 徒歩3分
都営地下鉄大江戸線 国立競技場駅 より 徒歩15分
JR中央・総武線 信濃町駅 または 千駄ヶ谷駅 より 徒歩15分
都バス 早81系 早大正門～渋谷駅 霞ヶ丘団地 下車
黒77系 目黒駅～千駄ヶ谷駅 北青山三丁目 下車",https://www.metro.ed.jp/aoyama-h/access/access.html
405720,荒川工科,arakawakoka-h,"JR常磐線 南千住駅 徒歩12分
京成電鉄 千住大橋駅 徒歩12分
地下鉄日比谷線 三ノ輪駅 徒歩12分",https://www.metro.ed.jp/arakawakoka-h/access/access.html
405720,荒川工科,arakawakoka-he,"路線案内
JR常磐線・地下鉄日比谷線・つくばエクスプレス 南千住駅 徒歩12分
京成電鉄 千住大橋駅 徒歩12分
都電荒川線 三ノ輪橋停留場 徒歩10分
地下鉄日比谷線 三ノ輪駅 徒歩12分",https://www.metro.ed.jp/arakawakoka-he/access/access.html
405520,浅草,asakusa-he,"路線案内
東武スカイツリーライン 浅草駅 中央改札口から 徒歩約１０分
東京メトロ銀座線 浅草駅 ７番出口から 徒歩約１０分
都営浅草線 浅草駅 Ａ５出口から 徒歩約１５分
つくばエクスプレス 浅草駅から 徒歩約２０分
バス
都バス（東４２甲）「南千住駅西口・車庫」行
「浅草橋駅」より約１５分／「東武浅草駅」より約５分、「浅草七丁目」にて下車し徒歩２分
都バス（東４２甲）「東京駅八重洲口・東神田駅」行
「南千住駅」より約１０分、「浅草七丁目」にて下車し徒歩１分
都バス（草６４）「浅草雷門南」行き
「池袋駅東口」より約４５分／「西巣鴨」より約４０分／「王子駅前」より約３０分／
「尾久駅前」より約２５分、「浅草警察署前」にて下車し徒歩６分
→ バスの案内図はこちら",https://www.metro.ed.jp/asakusa-he/access/access.html
