school_number,school,year,meet,sport,event,division,rank,source,club,is_individual_event
401010,一橋,令和6年度,全国大会（定時制通信制）,第59回陸上競技大会,,女,2位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/teiji_tsushin_tokyo_result.pdf,陸上部,0
401040,三田,令和5年度,関東大会,卓球,学校対抗,男,1回戦,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_kanto_results.pdf,卓球部,0
401210,大崎,令和7年度,関東大会,ﾊﾞｽｹｯﾄﾎﾞｰﾙ,学校対抗,男,1回戦,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-kantou-result.pdf,男子バスケットボール部,0
401230,小山台,令和5年度,全国大会（インターハイ）,自転車競技,,男,出場,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,,0
401230,小山台,令和5年度,関東大会,,スクラッチ,男,8位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_kanto_results.pdf,,0
401230,小山台,令和5年度,関東大会,,個人 ロード・レース,男,30位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_kanto_results.pdf,,1
401230,小山台,令和7年度,関東大会,,やり投,女,決勝9位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-kantou-result.pdf,陸上競技班,0
401240,雪谷,令和5年度,東京都大会,（３層・Layer３）,団体,女,4位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_tokyo_results.pdf,,0
401240,雪谷,令和6年度,全国大会（インターハイ）,水泳（競泳）,,男,44位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/ih_result.pdf,水泳部,0
401240,雪谷,令和6年度,関東大会,,100ｍ バタフライ,男,14位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/kt_result.pdf,水泳部,0
401240,雪谷,令和7年度,全国大会（インターハイ）,陸上競技,やり投,男,決勝出場,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-IH-result.pdf,陸上競技部,0
401240,雪谷,令和7年度,全国大会（インターハイ）,水泳(競泳),100m自由形,男,54位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-IH-result.pdf,水泳部,0
401240,雪谷,令和7年度,全国大会（インターハイ）,,ﾊﾞﾀﾌﾗｲ,男,20位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-IH-result.pdf,,0
401240,雪谷,令和7年度,全国大会（インターハイ）,,ﾊﾞﾀﾌﾗｲ,男,43位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-IH-result.pdf,,0
401240,雪谷,令和7年度,関東大会,,やり投,男,決勝6位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-kantou-result.pdf,陸上競技部,0
401240,雪谷,令和7年度,関東大会,,,男,予選11位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-kantou-result.pdf,,0
401240,雪谷,令和7年度,関東大会,,100m ﾊﾞﾀﾌﾗｲ,男,決勝5位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-kantou-result.pdf,陸上競技部,0
401240,雪谷,令和7年度,関東大会,,100m ﾊﾞﾀﾌﾗｲ,男,予選11位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-kantou-result.pdf,陸上競技部,0
401240,雪谷,令和7年度,関東大会,,4×200m ﾌﾘｰﾘﾚｰ,男,予選27位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-kantou-result.pdf,陸上競技部,0
401240,雪谷,令和7年度,東京都大会,（３層・Layer３）,団体,女,4位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-tosoutai-result.pdf,,0
401520,美原,令和5年度,東京都大会,弓道,団体,男,3位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_tokyo_results.pdf,弓道部,0
401520,美原,令和6年度,関東大会,ソフトボール,学校対抗,男,1回戦,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/kt_result.pdf,男子ソフトボール部,0
401520,美原,令和6年度,関東大会,弓道,団体,男,出場,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/kt_result.pdf,弓道部,0
402010,戸山,令和5年度,全国大会（インターハイ）,,,女,3位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,,0
402010,戸山,令和5年度,全国大会（インターハイ）,,,女,4位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,,0
402010,戸山,令和5年度,関東大会,水泳 (競泳),学校対抗,女,13位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_kanto_results.pdf,水泳部,0
402010,戸山,令和5年度,関東大会,,100ｍ平泳ぎ,女,26位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_kanto_results.pdf,水泳部,0
402010,戸山,令和5年度,関東大会,,200ｍ 個人メドレー,女,優勝,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_kanto_results.pdf,水泳部,1
402010,戸山,令和5年度,関東大会,,400m 個人メドレー,女,優勝,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_kanto_results.pdf,水泳部,1
402010,戸山,令和6年度,全国大会（インターハイ）,カヌー,,男,1回戦,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/ih_result.pdf,,0
402010,戸山,令和6年度,関東大会,,200ｍ バタフライ,女,優勝,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/kt_result.pdf,水泳部,0
402010,戸山,令和6年度,関東大会,,400m,女,準優勝,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2025/04/kt_result.pdf,陸上競技部,0
402010,戸山,令和7年度,関東大会,ｶﾇｰ,男子カヤック シングル500m,男,8位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2026/04/R7-kantou-result.pdf,,0
402030,駒場,令和5年度,全国大会（インターハイ）,陸上競技,,男,予選6位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,陸上競技部,0
402030,駒場,令和5年度,全国大会（インターハイ）,陸上競技,,女,決勝12位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,陸上競技部,0
402030,駒場,令和5年度,全国大会（インターハイ）,水泳(競泳),,男,26位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,水泳部,0
402030,駒場,令和5年度,全国大会（インターハイ）,水泳(競泳),,男,48位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,水泳部,0
402030,駒場,令和5年度,全国大会（インターハイ）,水泳(競泳),,男,18位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,水泳部,0
402030,駒場,令和5年度,全国大会（インターハイ）,水泳(競泳),,男,42位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,水泳部,0
402030,駒場,令和5年度,全国大会（インターハイ）,,,男,23位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,,0
402030,駒場,令和5年度,全国大会（インターハイ）,,,男,21位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,,0
402030,駒場,令和5年度,全国大会（インターハイ）,,,男,42位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,,0
402030,駒場,令和5年度,全国大会（インターハイ）,自転車競技,,女,9位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_alljapan_results.pdf,,0
402030,駒場,令和5年度,関東大会,陸上競技,４００ｍ,男,予選7位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_kanto_results.pdf,陸上競技部,0
402030,駒場,令和5年度,関東大会,陸上競技,４×１００ｍ リレー,女,予選6位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_kanto_results.pdf,陸上競技部,0
402030,駒場,令和5年度,関東大会,陸上競技,４×4００ｍ リレー,女,予選6位,https://www.tokyo-kotairen.gr.jp/wp-content/uploads/2024/04/R5_kanto_results.pdf,陸上競技部,0
