school_number,school,club,year,meet,text,flag,source
401250,大森,女子バレーボール部,平成30年,東京都大会,実績: 平成30年度 夏季大会ブロック準優勝(東京都ベスト32) 新人リーグ戦優勝 平成31年度 春季リーグ戦優勝 総体予選 5回戦進出(東京都ベスト48) バドミントン部 活動日 月・水・木・金・(土)・日 活動内容 ・基礎練習 ・練習,要確認,https://www.metro.ed.jp/omori-h/school_life/activities.html
401260,田園調布,陸上競技部,令和７年度,東京都大会（予選）,令和７年度はインターハイ地域予選で男子やり投げ８位、女子走り高跳び４位となり東京都大会本選に出場しました,OK,https://www.metro.ed.jp/den-enchofu-h/school_life/activities.html
401410,つばさ総合,弓道部,令和７年度,東京都大会,公式戦で勝ち上がることを目標に日々一生懸命練習しており、令和７年度は東京都国公立大会でベスト16に入ることができました,要確認,https://www.metro.ed.jp/tsubasasogo-h/school_life/activities.html
401410,つばさ総合,ダンス部,令和2年度,全国大会,令和2年度は関東ダンスドリル秋季競技大会HIPHOP女子部門Large編成で2位となり全国大会へ進出しました,OK,https://www.metro.ed.jp/tsubasasogo-h/school_life/activities.html
401520,美原,女子バレーボール部,令和2年度,東京都大会,令和2年度は東京都ベスト16 ・令和3年度は東京都ベスト64 ・令和4年度は総体予選にて東京都ベスト32 に進出,要確認,https://www.metro.ed.jp/mihara-h/school_life/activities.html
401620,大田桜台,硬式テニス部,令和7年度,東京都大会,令和7年度実績 東京都高等学校新人テニス選手権大会 女子シングルス本選出場 都立高校テニス選手権大会 女子シングルス ベスト３２ 東京都旧一学区テニス大会 女子シングルス 優勝 女子ダブルス 3位 女子団体 準優勝 東京都商業高等学校テニ,OK,https://www.metro.ed.jp/otasakuradai-h/school_life/activities.html
401620,大田桜台,女子バレーボール部,令和7年度,,令和7年度商高連大会では準優勝という結果を残しました,OK,https://www.metro.ed.jp/otasakuradai-h/school_life/activities.html
402060,新宿,硬式野球部,令和6年度,東京都大会,会団体ベスト8 硬式野球部 活動日 月水木金(土日はシーズンによって変動) 部員数 3年10人(内MG2人) 2年14人(内MG2人) 1年14人(内MG1人) 活動実績 令和 6年度 春季東京都高等学校野球大会本大会 2回戦 全国高等学校,要確認,https://www.metro.ed.jp/shinjuku-h/school_life/activities.html
402060,新宿,水泳部,令和7年度,東京都大会,10人 3年生（79回生）：12人 計 ：36人（内マネージャー5人 ） 活動実績 令和7年度東京都十六高校対抗水上競技大会 （A決勝 進出、 400m個人メドレー 優勝…） 令和7年度東京都高等学校新人水泳競技大会（A決勝進出） 参加大会,OK,https://www.metro.ed.jp/shinjuku-h/school_life/activities.html
402060,新宿,剣道部,令和5年度,東京都大会,剣道部 活動日 月、火、金、土、（日）…大会等があるとき 部員数 3年生 5人 2年生 3人 １年生 5人 活動実績 令和5年度 全国高校剣道大会都予選 男子団体ベスト32 令和6年度 全国高校剣道大会都予選 男子団体ベスト32 東京都国,要確認,https://www.metro.ed.jp/shinjuku-h/school_life/activities.html
402060,新宿,剣道部,令和7年度,東京都大会（予選）,公立高校剣道大会 男子団体ベスト16 女子団体ベスト8 令和7年度 関東大会個人都予選 3年男子ベスト３２ 全国高校剣道大会 女子都予選出場 弓道部 活動日：月・火・木・金・月二回日曜日(たまに土曜日) 部員数：79回生 1 １名、80回生,要確認,https://www.metro.ed.jp/shinjuku-h/school_life/activities.html
402060,新宿,チアリーディング部,令和5年度,全国大会,ディング選手権大会（関東大会） チアリーディング スピリッツ演技部門 優勝 令和 5年度 ・第 34回全日本高等学校チアリーディング選手権大会 (全国大会) Division1 決勝進出 令和6年 ・令和6年度東京都総合体育大会第11回チア,要確認,https://www.metro.ed.jp/shinjuku-h/school_life/activities.html
