school_number,name,ward,address,lat,lon,source
401010,一橋,千代田区,東神田1-12-13,35.694569,139.781027,P29
401020,日比谷,千代田区,永田町2-16-1,35.676262,139.740036,P29
401040,三田,港区,三田1-4-46,35.652386,139.742694,P29
401210,大崎,品川区,豊町2-1-7,35.609477,139.72114,P29
401220,八潮,品川区,東品川3-27-22,35.611727,139.746291,P29
401230,小山台,品川区,小山3-3-32,35.621179,139.703602,P29
401240,雪谷,大田区,久が原1-14-1,35.585759,139.689428,P29
401250,大森,大田区,西蒲田2-2-1,35.571599,139.709614,P29
401260,田園調布,大田区,田園調布南27-1,35.582242,139.676638,P29
401290,蒲田,大田区,蒲田本町1-1-30,35.557425,139.714959,P29
401410,つばさ総合,大田区,本羽田3-11-5,35.547354,139.73951,P29
401420,六本木,港区,六本木6-16-36,35.657905,139.731171,P29
401510,六郷工科,大田区,東六郷2-18-2,35.547963,139.71561,P29
401520,美原,大田区,大森東1-33-1,35.577992,139.740366,P29
401610,芝商業,港区,海岸1-8-25,35.656451,139.760603,P29
401620,大田桜台,大田区,中馬込3-11-10,35.592234,139.703693,P29
402010,戸山,新宿区,戸山3-19-1,35.706803,139.710328,P29
402030,駒場,目黒区,大橋2-18-1,35.654898,139.685888,P29
402040,目黒,目黒区,祐天寺2-7-15,35.637043,139.695298,P29
402060,新宿,新宿区,内藤町11-4,35.689267,139.705247,P29
402070,青山,渋谷区,神宮前2-1-8,35.672744,139.716177,P29
402080,広尾,渋谷区,東4-14-14,35.653624,139.712645,P29
402210,松原,世田谷区,桜上水4-3-5,35.665138,139.635088,P29
402220,桜町,世田谷区,用賀2-4-1,35.626382,139.640188,P29
402250,千歳丘,世田谷区,船橋3-18-1,35.652275,139.624829,P29
402270,深沢,世田谷区,深沢7-3-14,35.623338,139.648006,P29
402410,世田谷泉,世田谷区,北烏山9-22-1,35.672854,139.590955,P29
402420,世田谷総合,世田谷区,岡本2-9-1,35.620024,139.619132,P29
402520,新宿山吹,新宿区,山吹町81,35.706931,139.728199,P29
402530,芦花,世田谷区,粕谷3-8-1,35.659227,139.60529,P29
402620,第一商業,渋谷区,鉢山町8-1,35.650189,139.698904,P29
402750,総合工科,世田谷区,成城9-25-1,35.651963,139.595692,P29
