school_number,school,year,meet,sport,event,division,rank,source
404640,千早,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
409220,小平西,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
405050,忍岡,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《A：練馬会場》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
402060,新宿,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《A：練馬会場》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
402060,新宿,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《A：練馬会場》【結果】,,榊原政常記念創作脚本賞,東京都高校演劇研究会 都大会 結果
407090,日野台,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《A：練馬会場》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
408040,昭和,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,東京都高等学校演劇研究会賞,東京都高校演劇研究会 都大会 結果
403070,杉並,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
407030,片倉,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
408010,立川,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
406760,葛西工科,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
406760,葛西工科,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,榊原政常記念創作脚本賞,東京都高校演劇研究会 都大会 結果
403060,豊多摩,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
403060,豊多摩,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,中央委員会賞(生徒審査員による賞),東京都高校演劇研究会 都大会 結果
402030,駒場,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,全国高等学校演劇協議会長賞／審査員特別賞／東京都教育委員会賞（南関東大会推薦）,東京都高校演劇研究会 都大会 結果
