school_number,school,year,meet,sport,event,division,rank,source
401020,日比谷,令和4年度,高校生国際美術展（第23回）,書道,,,佳作,https://www.ihsaf.net/pdf/23_result_sho.pdf
401020,日比谷,令和5年度,高校生国際美術展（第24回）,書道,,,佳作,https://www.ihsaf.net/pdf/24_result_sho.pdf
401020,日比谷,令和8年度,高校生国際美術展（第27回）,書道,,,佳作,https://www.ihsaf.net/pdf/27_result_sho.pdf
401290,蒲田,令和4年度,高校生国際美術展（第23回）,美術,,,入賞,https://www.ihsaf.net/pdf/23_result_art.pdf
401290,蒲田,令和4年度,高校生国際美術展（第23回）,美術,,,佳作,https://www.ihsaf.net/pdf/23_result_art.pdf
401410,つばさ総合,令和5年度,高校生国際美術展（第24回）,美術,,,佳作,https://www.ihsaf.net/pdf/24_result_art.pdf
401410,つばさ総合,令和6年度,高校生国際美術展（第25回）,美術,,,佳作,https://www.ihsaf.net/pdf/25_result_art.pdf
401410,つばさ総合,令和7年度,高校生国際美術展（第26回）,美術,,,入賞,https://www.ihsaf.net/pdf/26_result_art.pdf
401410,つばさ総合,令和8年度,高校生国際美術展（第27回）,美術,,,入賞,https://www.ihsaf.net/pdf/27_result_art.pdf
401410,つばさ総合,令和8年度,高校生国際美術展（第27回）,美術,,,佳作,https://www.ihsaf.net/pdf/27_result_art.pdf
401520,美原,令和4年度,高校生国際美術展（第23回）,美術,,,佳作,https://www.ihsaf.net/pdf/23_result_art.pdf
403220,井草,令和6年度,高校生国際美術展（第25回）,美術,,,佳作,https://www.ihsaf.net/pdf/25_result_art.pdf
403240,練馬,令和8年度,高校生国際美術展（第27回）,美術,,,佳作,https://www.ihsaf.net/pdf/27_result_art.pdf
403510,大泉桜,令和4年度,高校生国際美術展（第23回）,美術,,,入賞,https://www.ihsaf.net/pdf/23_result_art.pdf
403510,大泉桜,令和5年度,高校生国際美術展（第24回）,美術,,,入賞,https://www.ihsaf.net/pdf/24_result_art.pdf
403510,大泉桜,令和6年度,高校生国際美術展（第25回）,美術,,,佳作,https://www.ihsaf.net/pdf/25_result_art.pdf
403510,大泉桜,令和7年度,高校生国際美術展（第26回）,美術,,,入賞,https://www.ihsaf.net/pdf/26_result_art.pdf
403510,大泉桜,令和7年度,高校生国際美術展（第26回）,美術,,,佳作,https://www.ihsaf.net/pdf/26_result_art.pdf
403510,大泉桜,令和8年度,高校生国際美術展（第27回）,美術,,,入賞,https://www.ihsaf.net/pdf/27_result_art.pdf
403510,大泉桜,令和8年度,高校生国際美術展（第27回）,美術,,,佳作,https://www.ihsaf.net/pdf/27_result_art.pdf
403810,農芸,令和6年度,高校生国際美術展（第25回）,美術,,,入賞,https://www.ihsaf.net/pdf/25_result_art.pdf
403810,農芸,令和6年度,高校生国際美術展（第25回）,美術,,,佳作,https://www.ihsaf.net/pdf/25_result_art.pdf
403810,農芸,令和7年度,高校生国際美術展（第26回）,美術,,,入賞,https://www.ihsaf.net/pdf/26_result_art.pdf
403810,農芸,令和8年度,高校生国際美術展（第27回）,美術,,,佳作,https://www.ihsaf.net/pdf/27_result_art.pdf
404420,王子総合,令和4年度,高校生国際美術展（第23回）,美術,,,入賞,https://www.ihsaf.net/pdf/23_result_art.pdf
404420,王子総合,令和4年度,高校生国際美術展（第23回）,美術,,,佳作,https://www.ihsaf.net/pdf/23_result_art.pdf
404420,王子総合,令和5年度,高校生国際美術展（第24回）,美術,,,入賞,https://www.ihsaf.net/pdf/24_result_art.pdf
404420,王子総合,令和5年度,高校生国際美術展（第24回）,美術,,,佳作,https://www.ihsaf.net/pdf/24_result_art.pdf
404420,王子総合,令和6年度,高校生国際美術展（第25回）,美術,,,入賞,https://www.ihsaf.net/pdf/25_result_art.pdf
404420,王子総合,令和7年度,高校生国際美術展（第26回）,美術,,,佳作,https://www.ihsaf.net/pdf/26_result_art.pdf
404420,王子総合,令和8年度,高校生国際美術展（第27回）,美術,,,入賞,https://www.ihsaf.net/pdf/27_result_art.pdf
404420,王子総合,令和8年度,高校生国際美術展（第27回）,美術,,,佳作,https://www.ihsaf.net/pdf/27_result_art.pdf
404520,板橋有徳,令和4年度,高校生国際美術展（第23回）,書道,,,入賞,https://www.ihsaf.net/pdf/23_result_sho.pdf
404520,板橋有徳,令和4年度,高校生国際美術展（第23回）,書道,,,佳作,https://www.ihsaf.net/pdf/23_result_sho.pdf
404520,板橋有徳,令和5年度,高校生国際美術展（第24回）,書道,,,入賞,https://www.ihsaf.net/pdf/24_result_sho.pdf
404520,板橋有徳,令和5年度,高校生国際美術展（第24回）,書道,,,佳作,https://www.ihsaf.net/pdf/24_result_sho.pdf
404520,板橋有徳,令和6年度,高校生国際美術展（第25回）,書道,,,入賞,https://www.ihsaf.net/pdf/25_result_sho.pdf
404520,板橋有徳,令和8年度,高校生国際美術展（第27回）,書道,,,入賞,https://www.ihsaf.net/pdf/27_result_sho.pdf
404520,板橋有徳,令和8年度,高校生国際美術展（第27回）,書道,,,佳作,https://www.ihsaf.net/pdf/27_result_sho.pdf
404710,工芸,令和6年度,高校生国際美術展（第25回）,美術,,,入賞,https://www.ihsaf.net/pdf/25_result_art.pdf
405060,上野,令和5年度,高校生国際美術展（第24回）,美術,,,佳作,https://www.ihsaf.net/pdf/24_result_art.pdf
