name,ward,station,straight_km,walk_min
富士,中野区,中野富士見町,0.1,2
小山台,品川区,武蔵小山,0.11,2
文京,豊島区,巣鴨新田,0.11,2
白鴎,台東区,新御徒町,0.16,3
新宿,新宿区,新宿三丁目,0.17,3
一橋,千代田区,馬喰町,0.18,3
戸山,新宿区,西早稲田,0.19,4
六郷工科,大田区,雑色,0.2,4
工芸,文京区,水道橋,0.23,4
鷺宮,中野区,都立家政,0.24,4
向丘,文京区,白山,0.25,4
深川,江東区,東陽町,0.25,5
橘,墨田区,東あずま,0.25,5
砂川,立川市,泉体育館,0.25,5
大崎,品川区,戸越公園,0.27,5
調布南,調布市,京王多摩川,0.27,5
日比谷,千代田区,永田町,0.28,5
芝商業,港区,竹芝,0.29,5
青山,渋谷区,外苑前,0.29,5
三田,港区,赤羽橋,0.3,5
田園調布,大田区,沼部,0.3,5
荻窪,杉並区,荻窪,0.3,5
蔵前工科,台東区,蔵前,0.3,5
狛江,狛江市,和泉多摩川,0.3,5
足立西,足立区,江北,0.31,5
江東商業,江東区,亀戸水神,0.32,6
昭和,昭島市,東中神,0.32,6
青梅総合,青梅市,東青梅,0.35,6
王子総合,北区,西ヶ原四丁目,0.36,6
墨田工科,江東区,菊川,0.36,6
忍岡,台東区,浅草橋,0.38,7
八潮,品川区,青物横丁,0.39,7
墨田川,墨田区,東向島,0.39,7
立川,立川市,立川南,0.39,7
目黒,目黒区,祐天寺,0.41,7
板橋有徳,板橋区,東武練馬,0.41,7
千早,豊島区,千川,0.41,7
日本橋,墨田区,京成曳舟,0.41,7
練馬工科,練馬区,平和台,0.42,7
北園,板橋区,新板橋,0.42,7
板橋,板橋区,千川,0.42,7
上野,台東区,根津,0.42,7
本所,墨田区,押上（スカイツリー前）,0.43,8
松原,世田谷区,桜上水,0.44,8
高島,板橋区,新高島平,0.44,8
駒場,目黒区,駒場東大前,0.45,8
第一商業,渋谷区,代官山,0.45,8
両国,墨田区,錦糸町,0.45,8
東大和南,東大和市,玉川上水,0.45,8
稔ヶ丘,中野区,下井草,0.46,8
小川,町田市,成瀬,0.46,8
江北,足立区,青井,0.47,8
葛西工科,江戸川区,一之江,0.47,8
小金井工科,小金井市,武蔵小金井,0.47,8
八王子拓真,八王子市,西八王子,0.48,8
国際,目黒区,駒場東大前,0.49,8
井草,練馬区,上井草,0.49,8
中野工科,中野区,野方,0.49,9
城東,江東区,西大島,0.49,8
美原,大田区,平和島,0.5,9
晴海総合,中央区,月島,0.5,9
農業,府中市,府中,0.5,9
杉並,杉並区,南阿佐ケ谷,0.51,9
第四商業,練馬区,富士見台,0.51,9
飛鳥,北区,王子神谷,0.51,9
竹台,荒川区,鶯谷,0.51,9
南平,日野市,南平,0.51,9
千歳丘,世田谷区,千歳船橋,0.52,9
荒川工科,荒川区,荒川一中前,0.52,9
科学技術,江東区,西大島,0.52,9
清瀬,清瀬市,清瀬,0.52,9
六本木,港区,六本木,0.54,9
小台橋,足立区,小台,0.55,9
神代,調布市,仙川,0.55,9
新宿山吹,新宿区,江戸川橋,0.56,10
石神井,練馬区,武蔵関,0.56,10
北豊島工科,板橋区,中板橋,0.56,10
蒲田,大田区,蒲田,0.57,10
つばさ総合,大田区,大鳥居,0.57,10
桜町,世田谷区,用賀,0.57,10
日野,日野市,万願寺,0.59,10
多摩科学技術,小金井市,武蔵小金井,0.59,10
桐ヶ丘,北区,北赤羽,0.6,10
豊島,豊島区,千川,0.61,10
第三商業,江東区,越中島,0.61,10
