school_number,name,official_name,course,top_url,clubs_url,status,club_link_text,clubs_url_alt,via,source
401010,一橋,一橋高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/hitotsubashi-he/,https://www.metro.ed.jp/hitotsubashi-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/hitotsubashi-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
401420,六本木,六本木高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/roppongi-he/,https://www.metro.ed.jp/roppongi-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/roppongi-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
402410,世田谷泉,世田谷泉高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/setagayaizumi-he/,https://www.metro.ed.jp/setagayaizumi-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/setagayaizumi-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
402520,新宿山吹,新宿山吹高等学校,定時制（単位制・昼夜間）、通信制,https://www.metro.ed.jp/shinjukuyamabuki-h/,https://www.metro.ed.jp/shinjukuyamabuki-h/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/shinjukuyamabuki-h/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
403040,荻窪,荻窪高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/ogikubo-he/,https://www.metro.ed.jp/ogikubo-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/ogikubo-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
403420,稔ヶ丘,稔ヶ丘高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/minorigaoka-he/,https://www.metro.ed.jp/minorigaoka-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/minorigaoka-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
404410,桐ヶ丘,桐ヶ丘高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/kirigaoka-he/,https://www.metro.ed.jp/kirigaoka-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/kirigaoka-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
405420,小台橋,小台橋高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/odaibashi-he/,https://www.metro.ed.jp/odaibashi-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/odaibashi-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
405520,浅草,浅草高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/asakusa-he/,https://www.metro.ed.jp/asakusa-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/asakusa-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
406410,大江戸,大江戸高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/oedo-he/,https://www.metro.ed.jp/oedo-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/oedo-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
406720,本所工科,本所工科高等学校,定時制（学年制・夜間）,https://www.metro.ed.jp/honjokoka-he/,https://www.metro.ed.jp/honjokoka-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/honjokoka-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
407520,八王子拓真,八王子拓真高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/hachiojitakushin-he/,https://www.metro.ed.jp/hachiojitakushin-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/hachiojitakushin-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
408030,砂川,砂川高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/sunagawa-he/,https://www.metro.ed.jp/sunagawa-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/sunagawa-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
408430,立川緑,立川緑高等学校,定時制（単位制・昼夜間）,https://www.metro.ed.jp/tachikawamidori-he/,https://www.metro.ed.jp/tachikawamidori-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/tachikawamidori-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
409710,小金井工科,小金井工科高等学校,定時制（学年制・夜間）,https://www.metro.ed.jp/koganeikoka-he/,https://www.metro.ed.jp/koganeikoka-he/school_life/activities.html,ok,部活動・生徒会ページへ,https://www.metro.ed.jp/koganeikoka-he/school_life/,,東京都立学校ポータル 都立高校一覧(list.xlsx)
