school_number,name,uniform_type,slacks_skirt_choice,quote,source
401010,一橋,制服なし（服装自由）,,・施設・沿革 制服・校章・校歌・施設・沿革 制服 制服はありません。,https://www.metro.ed.jp/hitotsubashi-hc/our_school/symbols.html
401020,日比谷,制服あり（形は公式サイト参照）,1,気候に応じて上着なし、学校指定のセーター・ベスト、グレー色のスラックス・スカートも可とする。,https://www.metro.ed.jp/hibiya-h/school_life/symbols.html
401040,三田,ブレザー,1,制服について（生徒手帳より抜粋） １．登校下校時及び校内では必ず制服を着用し、着こなしは清楚、端正を旨とし三田高生として品位を保つ。,https://www.metro.ed.jp/mita-h/school_life/symbols.html
401210,大崎,制服あり（形は公式サイト参照）,1,冬服と夏服、スカートの代わりにスラックス、リボンの代わりにネクタイも選べます オプションとして、指定のセーターとベストがあります 夏服にポロシャツが導入されました。,https://www.metro.ed.jp/osaki-h/school_life/symbols.html
401230,小山台,,,,https://www.metro.ed.jp/koyamadai-h/school_life/symbols.html
401240,雪谷,学ラン,,制服のスタイルは、男子は黒の詰襟、女子は紺のブレーザーにリボンです。,https://www.metro.ed.jp/yukigaya-h/school_life/symbols.html
401250,大森,制服あり（形は公式サイト参照）,,,https://www.metro.ed.jp/omori-h/school_life/symbols.html
401290,蒲田,制服あり（形は公式サイト参照）,,,https://www.metro.ed.jp/kamata-h/school_life/symbols.html
401410,つばさ総合,制服あり（形は公式サイト参照）,,夏服 左から、女子ズボン（オプション）・女子スカート・男子 冬服 左から、男子・女子・ポロシャツ（男女兼用）。,https://www.metro.ed.jp/tsubasasogo-h/school_life/symbols.html
401420,六本木,標準服,,・施設・沿革 制服・校章・校歌・施設・沿革 標準服 標準服の購入・着用は自由です。,https://www.metro.ed.jp/roppongi-he/our_school/symbols.html
401520,美原,制服あり（形は公式サイト参照）,,男女、夏服・冬服ともに英国調の落ち着いたさわやかなデザインです。,https://www.metro.ed.jp/mihara-h/school_life/symbols.html
401620,大田桜台,制服あり（形は公式サイト参照）,,夏服 冬服 制服ＰＤＦ。,https://www.metro.ed.jp/otasakuradai-h/school_life/symbols.html
402010,戸山,制服なし（服装自由）,,本校は制服がありません。,https://www.metro.ed.jp/toyama-h/school_life/symbols.html
402030,駒場,標準服（制服なし）,,本校には標準服があります。,https://www.metro.ed.jp/komaba-h/school_life/symbols.html
402040,目黒,ブレザー,,・校則 制服・校章・校歌・校則 制服 冬服は落ち着いたブレザータイプです。,https://www.metro.ed.jp/meguro-h/school_life/symbols.html
402060,新宿,,,校章 東の空に昇る朝日のさわやかな感じを具現化して、六角形（府立六中の「六」にちなんで）の陽の光が放射状に出て、中心の「髙」の下に菊の葉があしらわれています。,https://www.metro.ed.jp/shinjuku-h/school_life/symbols.html
402210,松原,制服あり（形は公式サイト参照）,,男子はネクタイ着用。,https://www.metro.ed.jp/matsubara-h/school_life/symbols.html
402220,桜町,標準服,1,本校は標準服ではなく、制服です。,https://www.metro.ed.jp/sakuramachi-h/school_life/symbols.html
402250,千歳丘,制服あり（形は公式サイト参照）,1,シャツは⻘⾊と⽩⾊があります。,https://www.metro.ed.jp/chitosegaoka-h/school_life/symbols.html
402270,深沢,,,校章 本校の校章について 茶室「清明亭」にちなみ，「高」の文字は石灯籠，全体は菊の花， 外形は茶釜，「高」の字の一部が茶釜の蓋を表しています。,https://www.metro.ed.jp/fukasawa-h/school_life/symbols.html
402410,世田谷泉,ブレザー,,・施設・沿革 制服・校章・校歌・施設・沿革 制服 紺の上着にグレー×ブルーのボトムを合わせた明るく爽やかな２つボタンブレザータイプで、生徒は自由な校則に合わせて着こなしています。,https://www.metro.ed.jp/setagayaizumi-he/our_school/symbols.html
402420,世田谷総合,制服あり（形は公式サイト参照）,,,https://www.metro.ed.jp/setagayasogo-h/school_life/symbols.html
402520,新宿山吹,制服なし（服装自由）,,制服はありません。,https://www.metro.ed.jp/shinjukuyamabuki-h/school_life/symbols.html
402530,芦花,制服あり（形は公式サイト参照）,,冬服の紹介 世界中で愛されるブリティッシュスタイルで、ベーシックなモデルです。,https://www.metro.ed.jp/roka-h/school_life/symbols.html
402620,第一商業,ブレザー,,冬服 男子は、ブレザー・スラックス・白ワイシャツ・ネクタイ・ソックスについては紺色または黒色の無地ソックス・黒の革靴。,https://www.metro.ed.jp/daiichishogyo-h/school_life/symbols.html
402750,総合工科,制服あり（形は公式サイト参照）,,,https://www.metro.ed.jp/sogokoka-h/school_life/symbols.html
402810,園芸,制服あり（形は公式サイト参照）,,創立100周年を記念し、新たな時代に見合ったデザインとしてチェック柄を中心とした制服としました。,https://www.metro.ed.jp/engei-h/school_life/symbols.html
403010,鷺宮,制服あり（形は公式サイト参照）,,・校旗 制服・校章・校歌・校旗 夏服 冬服。,https://www.metro.ed.jp/saginomiya-h/school_life/symbols.html
403020,富士,学ラン・セーラー,1,,https://www.metro.ed.jp/fuji-s/school_life/symbols.html
403030,武蔵丘,標準服,,標準服は武蔵丘の誇り 入学式をはじめとする式典や、来校者を迎える行事の際には、全校生徒が標準服を着用します。,https://www.metro.ed.jp/musashigaoka-h/school_life/symbols.html
