school_number,name,name_kana,ward,postal_code,address,phone,course_types,departments,students_fulltime,designation
401010,一橋,ヒトツバシ,千代田区,101-0031,東神田1-12-13,03-3862-6061,定時制,,,
401020,日比谷,ヒビヤ,千代田区,100-0014,永田町2-16-1,03-3581-0808,全日制,普,965,進学指導重点校
401040,三田,ミタ,港区,108-0073,三田1-4-46,03-3453-1991,全日制,普,864,進学指導推進校
401210,大崎,オオサキ,品川区,142-0042,豊町2-1-7,03-3786-3355,全日制・定時制,普,820,
401220,八潮,ヤシオ,品川区,140-0002,東品川3-27-22,03-3471-7384,全日制,普,569,
401230,小山台,コヤマダイ,品川区,142-0062,小山3-3-32,03-3714-8155,全日制・定時制,普,955,進学指導特別推進校
401240,雪谷,ユキガヤ,大田区,146-0085,久が原1-14-1,03-3753-0115,全日制,普,825,
401250,大森,オオモリ,大田区,144-0051,西蒲田2-2-1,03-3753-3161,全日制・定時制,普,260,
401260,田園調布,デンエンチョウフ,大田区,145-0076,田園調布南27-1,03-3750-4346,全日制,普,692,
401290,蒲田,カマタ,大田区,144-0053,蒲田本町1-1-30,03-3737-1331,全日制,普,410,
401410,つばさ総合,ツバサソウゴウ,大田区,144-8533,本羽田3-11-5,03-5737-0151,全日制,総,680,
401420,六本木,ロッポンギ,港区,106-0032,六本木6-16-36,03-5411-7327,定時制,,,
401510,六郷工科,ロクゴウコウカ,大田区,144-8506,東六郷2-18-2,03-3737-6565,全日制・定時制,工,374,
401520,美原,ミハラ,大田区,143-0012,大森東1-33-1,03-3764-3883,全日制,普,545,
401610,芝商業,シバショウギョウ,港区,105-0022,海岸1-8-25,03-3431-0760,全日制,商,500,
401620,大田桜台,オオタサクラダイ,大田区,143-0027,中馬込3-11-10,03-6303-7980,全日制,商,409,
402010,戸山,トヤマ,新宿区,162-0052,戸山3-19-1,03-3202-4301,全日制,普,951,進学指導重点校
402030,駒場,コマバ,目黒区,153-0044,大橋2-18-1,03-3466-2481,全日制,普・他,1026,進学指導特別推進校
402040,目黒,メグロ,目黒区,153-0052,祐天寺2-7-15,03-3792-5541,全日制,普,702,
402060,新宿,シンジュク,新宿区,160-0014,内藤町11-4,03-3354-7411,全日制,普,961,進学指導特別推進校
402070,青山,アオヤマ,渋谷区,150-0001,神宮前2-1-8,03-3404-7801,全日制,普,838,進学指導重点校
