station_name,lat,lon
お台場海浜公園,35.6298,139.7786
お花茶屋,35.7476,139.8399
すずかけ台,35.5171,139.4817
つくし野,35.5276,139.4851
つつじヶ丘,35.6579,139.5751
とうきょうスカイツリー,35.7104,139.8093
ときわ台,35.7588,139.689
ひばりヶ丘,35.7515,139.5459
めじろ台,35.6436,139.3084
テレコムセンター,35.6176,139.7793
一之江,35.6861,139.8829
一橋学園,35.7222,139.48
万願寺,35.6712,139.4201
三ノ輪,35.7296,139.7915
三ノ輪橋,35.7322,139.7914
三河島,35.7334,139.7771
三田,35.6482,139.7488
三越前,35.6872,139.7736
三軒茶屋,35.6437,139.6702
三鷹,35.7027,139.5603
三鷹台,35.692,139.5893
上中里,35.7473,139.7458
上井草,35.7253,139.6029
上北台,35.7458,139.4158
上北沢,35.6689,139.6233
上板橋,35.7636,139.6764
上町,35.6437,139.6463
上石神井,35.7262,139.5923
上野,35.7138,139.777
上野広小路,35.7077,139.7729
上野御徒町,35.7079,139.7743
上野毛,35.612,139.6389
下丸子,35.5714,139.6856
下井草,35.7239,139.6247
下北沢,35.6615,139.6669
下板橋,35.7457,139.7148
下神明,35.6087,139.7263
下落合,35.7158,139.6954
下赤塚,35.7706,139.6445
下高井戸,35.6662,139.6414
不動前,35.6265,139.7147
世田谷,35.6436,139.6509
世田谷代田,35.6583,139.6616
両国,35.6958,139.7933
中井,35.7151,139.687
中央大学・明星大学,35.642,139.4087
中延,35.6057,139.7125
中村橋,35.7368,139.6375
中板橋,35.7562,139.6946
中河原,35.6595,139.4576
中目黒,35.6439,139.6986
中神,35.7091,139.3758
中野,35.7058,139.6658
中野坂上,35.6979,139.6829
中野富士見町,35.6905,139.6669
中野新橋,35.6921,139.674
乃木坂,35.6666,139.7262
久が原,35.5795,139.6857
久我山,35.6881,139.5992
久米川,35.7496,139.4727
九品仏,35.6054,139.661
九段下,35.6956,139.7519
亀戸,35.6973,139.8263
亀戸水神,35.7,139.8334
亀有,35.7665,139.8476
二俣尾,35.8039,139.2162
二子玉川,35.6118,139.6267
二重橋前,35.6811,139.7619
五反田,35.626,139.7238
五反野,35.7659,139.8096
井の頭公園,35.6973,139.5831
井荻,35.7247,139.6153
京急蒲田,35.5608,139.7237
京成上野,35.7112,139.7736
京成小岩,35.7422,139.8837
京成曳舟,35.7184,139.82
京成立石,35.7383,139.8486
京成金町,35.7685,139.8704
京成関屋,35.744,139.8118
京成高砂,35.7509,139.8669
京橋,35.6769,139.7701
京王よみうりランド,35.6329,139.5176
京王八王子,35.6574,139.3439
京王堀之内,35.6244,139.4003
京王多摩センター,35.6252,139.424
京王多摩川,35.6445,139.5366
京王永山,35.6301,139.4482
京王片倉,35.6443,139.337
人形町,35.6863,139.7823
仙川,35.6623,139.5849
代々木,35.6831,139.702
代々木上原,35.6692,139.6802
代々木八幡,35.6697,139.6889
代々木公園,35.6692,139.6891
代官山,35.6482,139.7033
代田橋,35.6711,139.6594
仲御徒町,35.7066,139.7761
住吉,35.6891,139.8157
保谷,35.7482,139.5678
信濃町,35.68,139.7207
光が丘,35.7585,139.6286
入谷,35.7199,139.7839
八丁堀,35.6746,139.7777
八坂,35.7449,139.4677
八幡山,35.67,139.6149
八広,35.7277,139.8287
八王子,35.6556,139.339
八王子みなみ野,35.6307,139.3307
六本木,35.6628,139.7314
六本木一丁目,35.6656,139.739
六町,35.785,139.8218
六郷土手,35.5406,139.7076
内幸町,35.6698,139.7556
分倍河原,35.6685,139.4688
初台,35.6812,139.6864
勝どき,35.6585,139.7764
北八王子,35.6692,139.3633
北千住,35.7497,139.8049
北千束,35.6063,139.6933
北参道,35.6785,139.7055
北品川,35.6225,139.7392
北府中,35.6809,139.4718
北池袋,35.7413,139.7167
